factor,month,mean_rank_ic,valid_days
factor_01,201501,-0.20473182445561283,20
factor_01,201502,-0.03863321093812985,15
factor_01,201503,-0.11103076195628482,22
factor_01,201504,-0.1860902060690412,21
factor_01,201505,-0.05473943972779014,20
factor_01,201506,-0.24898765859562177,21
factor_01,201507,-0.10148383844119156,23
factor_01,201508,-0.13074835907017723,21
factor_01,201509,-0.16725400570366203,20
factor_01,201510,-0.07033404939883162,17
factor_01,201511,-0.03886814969322741,21
factor_01,201512,-0.15437261006751607,23
factor_01,201601,-0.1477774259773481,20
factor_01,201602,-0.0702077793261046,16
factor_01,201603,-0.11320451658654151,23
factor_01,201604,-0.11402392142754374,20
factor_01,201605,-0.009206518399260075,21
factor_01,201606,-0.017866016016115923,20
factor_01,201607,-0.2808401103986657,21
factor_01,201608,-0.11798313164834565,23
factor_01,201609,-0.06225235258313474,20
factor_01,201610,-0.07568435079325198,16
factor_01,201611,-0.166170698704362,22
factor_01,201612,-0.10345856554333861,22
factor_01,201701,-0.052488699370436154,18
factor_01,201702,-0.07303213543458541,18
factor_01,201703,-0.1116835227644546,23
factor_01,201704,-0.12416748768379719,18
factor_01,201705,-0.05457817035964947,20
factor_01,201706,-0.11991364980111313,22
factor_01,201707,-0.08806934611202555,21
factor_01,201708,-0.08436275213346009,23
factor_01,201709,-0.12731409151320147,21
factor_01,201710,-0.08257353591119924,17
factor_01,201711,-0.12400500468623034,22
factor_01,201712,-0.05055713557510145,21
factor_01,201801,-0.08219261848740142,22
factor_01,201802,-0.10139635917125357,15
factor_01,201803,-0.028446800063293608,22
factor_01,201804,-0.0893571344224599,18
factor_01,201805,-0.025450100461001414,22
factor_01,201806,-0.04597372951798319,20
factor_01,201807,-0.1484593101297459,22
factor_01,201808,-0.07461965265814642,23
factor_01,201809,-0.11684324608984295,19
factor_01,201810,-0.07282377629928222,18
factor_01,201811,-0.13192996172746851,22
factor_01,201812,-0.10533747733457999,20
factor_01,201901,-0.15622114799063852,22
factor_01,201902,0.06550972927720486,15
factor_01,201903,-0.17625165979167617,21
factor_01,201904,-0.2350893555139672,21
factor_01,201905,-0.06090907593988511,20
factor_01,201906,-0.13943853345576968,19
factor_01,201907,-0.09480280133248299,23
factor_01,201908,-0.01858288212282169,22
factor_01,201909,-0.10265994255305155,20
factor_01,201910,-0.09875653197610818,18
factor_01,201911,-0.09512316225393964,21
factor_01,201912,-0.031937160756060096,22
factor_01,202001,0.02180533200096562,16
factor_01,202002,-0.020673066407878592,20
factor_01,202003,-0.19496691154091125,22
factor_01,202004,-0.11164208969193966,21
factor_01,202005,-0.055644838964199424,18
factor_01,202006,-0.04979033327605773,20
factor_01,202007,-0.05330526127263351,23
factor_01,202008,-0.12126540219223925,21
factor_01,202009,-0.09432902168014112,22
factor_01,202010,0.024857119484453252,16
factor_01,202011,-0.13551050920081437,21
factor_01,202012,-0.0038727233910069857,23
factor_01,202101,-0.09110724019598967,20
factor_01,202102,-0.0926663281508479,15
factor_01,202103,-0.1009131510208992,23
factor_01,202104,-0.09210726680157724,21
factor_01,202105,-0.031872846056523824,18
factor_01,202106,-0.04948641304458851,21
factor_01,202107,0.08232195036333828,22
factor_01,202108,-0.06602632671766567,22
factor_01,202109,-0.18446343955020833,20
factor_01,202110,-0.049551826576050124,16
factor_01,202111,-0.09667487469339514,22
factor_01,202112,-0.15748497921905052,23
factor_01,202201,-0.10257326030345001,19
factor_01,202202,-0.011146889654550973,16
factor_01,202203,0.03650963255857802,23
factor_01,202204,-0.1205141525165715,19
factor_01,202205,-0.1258340219572054,19
factor_01,202206,-0.07778068283353134,21
factor_01,202207,-0.04678498329320613,21
factor_01,202208,-0.15312534802771505,23
factor_01,202209,-0.09597965379628318,21
factor_01,202210,-0.08904420496537294,16
factor_01,202211,-0.14831726008476542,22
factor_01,202212,-0.1164369961761774,22
factor_01,202301,-0.12671796065186633,16
factor_01,202302,-0.1254546413506204,20
factor_01,202303,0.00611907645938616,23
factor_01,202304,-0.08710055476395454,19
factor_01,202305,-0.06884506980173331,20
factor_01,202306,-0.05397295605682005,20
factor_01,202307,-0.200310997122717,21
factor_01,202308,-0.053358801749793815,23
factor_01,202309,-0.05072012847869495,20
factor_01,202310,0.001538855510239567,17
factor_01,202311,-0.044820166082452886,22
factor_01,202312,-0.024980175668267723,21
factor_01,202401,-0.10155426509794033,22
factor_01,202402,-0.14025942559180438,15
factor_01,202403,-0.149341253634101,21
factor_01,202404,-0.13804851438767152,20
factor_01,202405,-0.08660084069752108,20
factor_01,202406,0.0005666392869753473,19
factor_01,202407,-0.08373173160116561,23
factor_01,202408,-0.08339878882404714,22
factor_01,202409,-0.03911498988101802,19
factor_01,202410,-0.014924697145024417,18
factor_01,202411,-0.10095630978241707,21
factor_01,202412,-0.22118485231767016,22
factor_01,202501,-0.036415662428286324,18
factor_01,202502,-0.005880396136782371,18
factor_01,202503,-0.23987110800481296,21
factor_01,202504,-0.07899970857217928,21
factor_01,202505,-0.06390603264158477,19
factor_01,202506,-0.11377303465258884,20
factor_01,202507,-0.10616695297223055,23
factor_01,202508,-0.07511358454360291,21
factor_01,202509,-0.06800974305262689,22
factor_01,202510,-0.11774617526354986,17
factor_01,202511,-0.09967693318687838,20
factor_01,202512,-0.07922888607627038,23
factor_02,201501,-0.11524723977522636,20
factor_02,201502,-0.021348331159868835,15
factor_02,201503,-0.10208044314510531,22
factor_02,201504,-0.18879116767566342,21
factor_02,201505,-0.06509819741806849,20
factor_02,201506,-0.14779894192410892,21
factor_02,201507,-0.06461570288040834,23
factor_02,201508,-0.1266373591052657,21
factor_02,201509,0.0734416733531332,20
factor_02,201510,-0.02060948999596383,17
factor_02,201511,-0.026769841947500768,21
factor_02,201512,-0.17142703869417875,23
factor_02,201601,-0.056466517805840666,20
factor_02,201602,-0.08813623582517913,16
factor_02,201603,0.01886667186807928,23
factor_02,201604,-0.11885021913222538,20
factor_02,201605,0.028657574267395687,21
factor_02,201606,-0.04006020976937492,20
factor_02,201607,-0.27313221072708294,21
factor_02,201608,-0.13215019549387003,23
factor_02,201609,-0.071153908734198,20
factor_02,201610,-0.07431234891779828,16
factor_02,201611,-0.18084556797775175,22
factor_02,201612,-0.13569575903767853,22
factor_02,201701,-0.09461499557120585,18
factor_02,201702,-0.11055401976956988,18
factor_02,201703,-0.10903211205072211,23
factor_02,201704,-0.12724126702531463,18
factor_02,201705,-0.14012171007026658,20
factor_02,201706,-0.04254416962365636,22
factor_02,201707,-0.1120329942512673,21
factor_02,201708,-0.05257512953882587,23
factor_02,201709,-0.119135721690201,21
factor_02,201710,-0.11046951734859674,17
factor_02,201711,-0.1418247580204307,22
factor_02,201712,-0.02077435749117898,21
factor_02,201801,-0.12738441400117034,22
factor_02,201802,0.11916627998800733,15
factor_02,201803,0.012409885169911067,22
factor_02,201804,-0.11580980255086709,18
factor_02,201805,-0.039997243206313815,22
factor_02,201806,-0.0008630187955751712,20
factor_02,201807,-0.19498978362633812,22
factor_02,201808,-0.10213237254341834,23
factor_02,201809,-0.13427829429423763,19
factor_02,201810,-0.03112279356305954,18
factor_02,201811,-0.13397529890211107,22
factor_02,201812,-0.10427625817588507,20
factor_02,201901,-0.14427615004065675,22
factor_02,201902,0.13510096380379014,15
factor_02,201903,-0.18021678652932344,21
factor_02,201904,-0.23046592236408947,21
factor_02,201905,-0.059669360454411194,20
factor_02,201906,-0.10894898235241565,19
factor_02,201907,-0.11736647909619466,23
factor_02,201908,0.010630262117519964,22
factor_02,201909,-0.12397133681390977,20
factor_02,201910,-0.1315339735687414,18
factor_02,201911,-0.07884371641700076,21
factor_02,201912,-0.013301149184910226,22
factor_02,202001,0.0030314473833556142,16
factor_02,202002,0.009540409137578889,20
factor_02,202003,-0.19821988465202345,22
factor_02,202004,-0.08658264188139897,21
factor_02,202005,-0.06731725126726187,18
factor_02,202006,-0.057140098746776266,20
factor_02,202007,-0.059024688138964936,23
factor_02,202008,-0.12019367974614542,21
factor_02,202009,-0.045239926738431406,22
factor_02,202010,-0.015719441229820434,16
factor_02,202011,-0.16373009117618492,21
factor_02,202012,-0.04461846529292029,23
factor_02,202101,-0.117857327504018,20
factor_02,202102,-0.06513130773760178,15
factor_02,202103,-0.11184001133787985,23
factor_02,202104,-0.10226513511171653,21
factor_02,202105,0.009981415801878297,18
factor_02,202106,-0.05636220262952758,21
factor_02,202107,0.04426875294609965,22
factor_02,202108,-0.10511013101351295,22
factor_02,202109,-0.1899085230181938,20
factor_02,202110,0.021949038072216022,16
factor_02,202111,-0.050518451511940905,22
factor_02,202112,-0.18733723498632532,23
factor_02,202201,-0.15396005933481377,19
factor_02,202202,0.023306492531561335,16
factor_02,202203,-0.057247962492057984,23
factor_02,202204,-0.10889627551174351,19
factor_02,202205,-0.07342405079077186,19
factor_02,202206,-0.09263858867905284,21
factor_02,202207,-0.039803972415102425,21
factor_02,202208,-0.15070459786127569,23
factor_02,202209,-0.1289695488971841,21
factor_02,202210,0.021198901274056523,16
factor_02,202211,-0.15189067546744056,22
factor_02,202212,-0.08513437050363369,22
factor_02,202301,-0.094584517520893,16
factor_02,202302,-0.12682525218354015,20
factor_02,202303,-0.023983839188408195,23
factor_02,202304,-0.13884094836028898,19
factor_02,202305,0.018328729721374875,20
factor_02,202306,-0.042630251472170276,20
factor_02,202307,-0.22590411694859333,21
factor_02,202308,-0.05204033844380442,23
factor_02,202309,-0.06562630634862372,20
factor_02,202310,-0.03977637080035728,17
factor_02,202311,-0.02669503342905868,22
factor_02,202312,-0.06670527043644597,21
factor_02,202401,-0.2730353094533563,22
factor_02,202402,0.19762805114050214,15
factor_02,202403,-0.0580853845003825,21
factor_02,202404,-0.10808194018553205,20
factor_02,202405,-0.13840313119474978,20
factor_02,202406,-0.03287753656046284,19
factor_02,202407,-0.10889820256092234,23
factor_02,202408,-0.12402588202478548,22
factor_02,202409,-0.022847659631984707,19
factor_02,202410,0.010370626339531116,18
factor_02,202411,-0.08750964744083475,21
factor_02,202412,-0.23566671934316832,22
factor_02,202501,0.062196812364586435,18
factor_02,202502,0.02057544967898241,18
factor_02,202503,-0.2605859102617613,21
factor_02,202504,0.017877928960844797,21
factor_02,202505,-0.09787578922639034,19
factor_02,202506,-0.12879686949841174,20
factor_02,202507,-0.12723819670208075,23
factor_02,202508,-0.08454204593242601,21
factor_02,202509,-0.08842836271039062,22
factor_02,202510,-0.13195173966652726,17
factor_02,202511,-0.12288336287052912,20
factor_02,202512,-0.02000729792815128,23
factor_03,201501,-0.2322663751611819,20
factor_03,201502,-0.07851393067120975,15
factor_03,201503,-0.15113493932966368,22
factor_03,201504,-0.19043712016031808,21
factor_03,201505,-0.13528268689286685,20
factor_03,201506,-0.25244484187248345,21
factor_03,201507,-0.08443637738070009,23
factor_03,201508,-0.09881069825989702,21
factor_03,201509,-0.23966937533997354,20
factor_03,201510,-0.1767831093745067,17
factor_03,201511,-0.11134339577674843,21
factor_03,201512,-0.19565494146432508,23
factor_03,201601,-0.16917209941488423,20
factor_03,201602,-0.014739108597090003,16
factor_03,201603,-0.229895644851547,23
factor_03,201604,-0.17707187562122612,20
factor_03,201605,-0.0732616143879644,21
factor_03,201606,-0.05064533138109041,20
factor_03,201607,-0.25541391249360984,21
factor_03,201608,-0.15992062845509422,23
factor_03,201609,-0.14498102961367287,20
factor_03,201610,-0.13960434166158187,16
factor_03,201611,-0.17738323024486977,22
factor_03,201612,-0.13877524995389598,22
factor_03,201701,0.0026893602085931584,18
factor_03,201702,-0.0679145841495182,18
factor_03,201703,-0.06509415841273192,23
factor_03,201704,-0.03709345217301889,18
factor_03,201705,0.06996888188989629,20
factor_03,201706,-0.10761498540678929,22
factor_03,201707,0.02943572948367528,21
factor_03,201708,-0.1517729627250528,23
factor_03,201709,-0.13584190419355605,21
factor_03,201710,-0.022397920868544544,17
factor_03,201711,-0.013771284395619303,22
factor_03,201712,-0.02289346769427782,21
factor_03,201801,0.039334565724918134,22
factor_03,201802,-0.18372410229508004,15
factor_03,201803,-0.1228559643650227,22
factor_03,201804,-0.05633542745847139,18
factor_03,201805,-0.048530887157142814,22
factor_03,201806,-0.043276908036200414,20
factor_03,201807,-0.05597054226618068,22
factor_03,201808,-0.024314660802401692,23
factor_03,201809,-0.03526229063098354,19
factor_03,201810,-0.10153905316694532,18
factor_03,201811,-0.200224165796997,22
factor_03,201812,-0.12316141864855108,20
factor_03,201901,-0.05200651687986016,22
factor_03,201902,-0.0501496074550991,15
factor_03,201903,-0.19045064797035474,21
factor_03,201904,-0.2333848902246259,21
factor_03,201905,-0.08028990326449845,20
factor_03,201906,-0.12667666002558473,19
factor_03,201907,-0.0630202257510549,23
factor_03,201908,-0.012958637181447559,22
factor_03,201909,-0.12903750773157813,20
factor_03,201910,-0.043931435835918825,18
factor_03,201911,-0.07219535897885819,21
factor_03,201912,-0.054635517451560256,22
factor_03,202001,0.07531927641738079,16
factor_03,202002,-0.06176524746369131,20
factor_03,202003,-0.20423258961763444,22
factor_03,202004,-0.04268876145438007,21
factor_03,202005,-0.06746271183504492,18
factor_03,202006,0.008767857852057042,20
factor_03,202007,-0.05702602705168841,23
factor_03,202008,-0.15977949892669235,21
factor_03,202009,-0.07789809732559096,22
factor_03,202010,0.008365801122037025,16
factor_03,202011,-0.10893781255055546,21
factor_03,202012,0.10798344984930823,23
factor_03,202101,-0.020783017097167004,20
factor_03,202102,-0.13895363468746283,15
factor_03,202103,-0.10352339520825475,23
factor_03,202104,-0.07605899465723737,21
factor_03,202105,-0.05651786003338874,18
factor_03,202106,-0.07162594454041765,21
factor_03,202107,0.08701570568337992,22
factor_03,202108,-0.058739251741462356,22
factor_03,202109,-0.17251264423295207,20
factor_03,202110,-0.020493623648429694,16
factor_03,202111,-0.16379412582892663,22
factor_03,202112,-0.16914012031473663,23
factor_03,202201,-0.09054267589293934,19
factor_03,202202,-0.0673582454266552,16
factor_03,202203,0.03089725802142255,23
factor_03,202204,-0.06689463674135636,19
factor_03,202205,-0.11750106688860945,19
factor_03,202206,-0.039569814258496136,21
factor_03,202207,-0.09868800351714072,21
factor_03,202208,-0.1739253961204035,23
factor_03,202209,-0.04857642833204863,21
factor_03,202210,-0.15751456659129356,16
factor_03,202211,-0.15137866477285364,22
factor_03,202212,-0.09297213032538783,22
factor_03,202301,-0.1555731957795572,16
factor_03,202302,-0.13877704975173827,20
factor_03,202303,0.03813544288233146,23
factor_03,202304,-0.036912841025875574,19
factor_03,202305,-0.15052268205927002,20
factor_03,202306,-0.09438098852273147,20
factor_03,202307,-0.18264884737471174,21
factor_03,202308,-0.13764835704315373,23
factor_03,202309,-0.044911802276871596,20
factor_03,202310,-0.06311495033052981,17
factor_03,202311,-0.13462567137009118,22
factor_03,202312,-0.054869183610439375,21
factor_03,202401,0.11145576275801604,22
factor_03,202402,-0.18960521543643402,15
factor_03,202403,-0.21190804418354559,21
factor_03,202404,-0.10301095822633972,20
factor_03,202405,0.03591715604799797,20
factor_03,202406,-0.061914341646650495,19
factor_03,202407,-0.08432072143066786,23
factor_03,202408,-0.09394086813767126,22
factor_03,202409,-0.040462353821479786,19
factor_03,202410,-0.08188924011055264,18
factor_03,202411,-0.16748938002581418,21
factor_03,202412,-0.16548612490226228,22
factor_03,202501,-0.12568470732898038,18
factor_03,202502,-0.06549779239385162,18
factor_03,202503,-0.22756666867414319,21
factor_03,202504,-0.18443404023744311,21
factor_03,202505,-0.13086592239453002,19
factor_03,202506,-0.13828527480639424,20
factor_03,202507,-0.10114766186993529,23
factor_03,202508,-0.03651064542246228,21
factor_03,202509,-0.024871588891224226,22
factor_03,202510,-0.15165502513612922,17
factor_03,202511,-0.08063578987251001,20
factor_03,202512,-0.0426644513807291,23
factor_04,201501,-0.2165146864239939,20
factor_04,201502,-0.08768822665988131,15
factor_04,201503,-0.145196114508051,22
factor_04,201504,-0.12645717621077587,21
factor_04,201505,-0.25546713576878416,20
factor_04,201506,-0.036320209366895076,21
factor_04,201507,-0.1621851751376059,23
factor_04,201508,-0.11003277903475321,21
factor_04,201509,-0.11455541360488097,20
factor_04,201510,-0.17356433864123333,17
