offset,year,total_ret
0,2018,-0.19339292850304668
0,2019,0.03803943972734403
0,2020,0.0679048876423145
0,2021,0.20421671366353245
0,2022,-0.03248018150517973
0,2023,-0.0263551395822349
0,2024,0.05757675616675728
0,2025,0.2395337173560692
1,2018,-0.14451266728235235
1,2019,0.10487925979488599
1,2020,0.025610949977894926
1,2021,0.21742589532663503
1,2022,0.03435353981727007
1,2023,-0.02398647893206407
1,2024,0.15521068500545643
1,2025,0.23833101908640741
2,2018,-0.1684039807351434
2,2019,0.018847379866603342
2,2020,0.11554645768955352
2,2021,0.18108473285409654
2,2022,-0.06366295064905181
2,2023,-0.0046005823284740455
2,2024,0.1288853794538647
2,2025,0.1467222343965242
3,2018,-0.14780609084779994
3,2019,0.06809847094777588
3,2020,0.1272164882904876
3,2021,0.15007154807439238
3,2022,-0.08214897362733664
3,2023,0.0020953603235116525
3,2024,0.2014389090961055
3,2025,0.13169140242231037
4,2018,-0.1687256090699748
4,2019,0.056960873524330324
4,2020,0.07199324717172129
4,2021,0.21064668739051284
4,2022,-0.08449020199659119
4,2023,-0.052701187208540556
4,2024,0.08985715704976527
4,2025,0.0244924071301289
