period,cost_bps,replay_kind,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,average_daily_turnover,annualized_turnover,trade_day_ratio,average_mapping_coverage,minimum_mapping_coverage
development,10.0,frozen_sector_targets_to_real_etf_open,1456,0.14884447778002619,0.024306267744315102,0.00522311844682564,4.600767435894874,-0.0048542240701873185,0.8173076923076923,0.0006765169459392611,0.1704822703766938,0.0260989010989011,0.007562060047761966,0.0
selection,10.0,frozen_sector_targets_to_real_etf_open,485,0.02499292619803639,0.012909001164424616,0.006839844059730996,1.8787058438838835,-0.004401721813809489,0.7443298969072165,0.0022935021232490973,0.5779625350587725,0.03505154639175258,0.006462261037324945,0.0
full,10.0,frozen_sector_targets_to_real_etf_open,1941,0.17755746302620845,0.021446456473519504,0.00567864885478528,3.7397485318118378,-0.0048542240701873185,0.7990726429675425,0.0010805549732423373,0.272299853257069,0.02833590932509016,0.007285670767652137,0.0
observation,10.0,frozen_sector_targets_to_real_etf_open,159,0.006925913710910336,0.01099913237384964,0.0013198197070960107,8.28915505044833,-0.0002291955237118115,0.7547169811320755,6.738146029957711e-17,1.698012799549343e-14,0.0,0.0,0.0
development,20.0,frozen_sector_targets_to_real_etf_open,1456,0.14771322146960175,0.024131626967337727,0.0052196949309796445,4.571111610112933,-0.0048542240701872075,0.8173076923076923,0.0006765169459392611,0.1704822703766938,0.0260989010989011,0.007562060047761966,0.0
selection,20.0,frozen_sector_targets_to_real_etf_open,485,0.023853137871904018,0.012323606687127064,0.0068685841493141735,1.7867034438886822,-0.004542389826052928,0.7422680412371134,0.0022935021232490973,0.5779625350587725,0.03505154639175258,0.006462261037324945,0.0
full,20.0,frozen_sector_targets_to_real_etf_open,1941,0.1750897831787226,0.02116829714678703,0.0056855587614001325,3.687303250674583,-0.0048542240701872075,0.7985574446161773,0.0010805549732423373,0.272299853257069,0.02833590932509016,0.007285670767652137,0.0
observation,20.0,frozen_sector_targets_to_real_etf_open,159,0.006925913710910336,0.01099913237384964,0.0013198197070960107,8.28915505044833,-0.0002291955237118115,0.7547169811320755,6.738146029957711e-17,1.698012799549343e-14,0.0,0.0,0.0
development,30.0,frozen_sector_targets_to_real_etf_open,1456,0.14658295139732935,0.023956996227998628,0.005219942168520433,4.5382232545374395,-0.0048542240701873185,0.8173076923076923,0.0006765169459392611,0.1704822703766938,0.0260989010989011,0.007562060047761966,0.0
selection,30.0,frozen_sector_targets_to_real_etf_open,485,0.022714435221873552,0.011738457100265887,0.006910374090110578,1.6922659684808952,-0.004683057244828426,0.7422680412371134,0.0022935021232490973,0.5779625350587725,0.03505154639175258,0.006462261037324945,0.0
full,30.0,frozen_sector_targets_to_real_etf_open,1941,0.17262693557334852,0.02089017525006165,0.005698994797194878,3.6308227370992916,-0.0048542240701873185,0.7985574446161773,0.0010805549732423373,0.272299853257069,0.02833590932509016,0.007285670767652137,0.0
observation,30.0,frozen_sector_targets_to_real_etf_open,159,0.006925913710910336,0.01099913237384964,0.0013198197070960107,8.28915505044833,-0.0002291955237118115,0.7547169811320755,6.738146029957711e-17,1.698012799549343e-14,0.0,0.0,0.0
development,50.0,frozen_sector_targets_to_real_etf_open,1456,0.14432536696622855,0.02360776486327798,0.005231439095023934,4.463049685749221,-0.0048542240701872075,0.8159340659340659,0.0006765169459392611,0.1704822703766938,0.0260989010989011,0.007562060047761966,0.0
selection,50.0,frozen_sector_targets_to_real_etf_open,485,0.02044028349569582,0.010568892338702174,0.0070321003225397236,1.4986030225255567,-0.0049643903019809255,0.7402061855670103,0.0022935021232490973,0.5779625350587725,0.03505154639175258,0.006462261037324945,0.0
full,50.0,frozen_sector_targets_to_real_etf_open,1941,0.16771570187833484,0.0203340437435644,0.005745239873488382,3.5067919708877264,-0.0049643903019808144,0.7970118495620814,0.0010805549732423373,0.272299853257069,0.02833590932509016,0.007285670767652137,0.0
observation,50.0,frozen_sector_targets_to_real_etf_open,159,0.006925913710910336,0.01099913237384964,0.0013198197070960107,8.28915505044833,-0.0002291955237118115,0.7547169811320755,6.738146029957711e-17,1.698012799549343e-14,0.0,0.0,0.0
