sector_code,sector_name,sector_type,etf_code,etf_name,index_code,index_name,list_date,list_status,normalized_name,candidate_method,candidate_asof_date
881112.TI,钢铁,I,515210.SH,国泰中证钢铁ETF,930606.CSI,中证钢铁,20200302,L,钢铁,strict_normalized_index_name,20260529
881115.TI,建筑材料,I,159745.SZ,国泰中证全指建筑材料ETF,931009.CSI,中证建筑材料,20210618,L,建筑材料,strict_normalized_index_name,20260529
881115.TI,建筑材料,I,516750.SH,富国中证全指建筑材料ETF,931009.CSI,中证建筑材料,20211105,L,建筑材料,strict_normalized_index_name,20260529
881115.TI,建筑材料,I,159787.SZ,易方达中证全指建筑材料ETF,931009.CSI,中证建筑材料,20220315,L,建筑材料,strict_normalized_index_name,20260529
881121.TI,半导体,I,159325.SZ,南方中证半导体行业精选ETF,932066.CSI,半导体行业精选,20241108,L,半导体,strict_normalized_index_name,20260529
881121.TI,半导体,I,512480.SH,国联安中证全指半导体产品与设备ETF,H30184.CSI,中证半导体,20190612,L,半导体,strict_normalized_index_name,20260529
881124.TI,消费电子,I,561600.SH,平安中证消费电子主题ETF,931494.CSI,中证消费电子,20210909,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,561310.SH,国泰中证消费电子主题ETF,931494.CSI,中证消费电子,20211125,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,159779.SZ,招商中证消费电子主题ETF,931494.CSI,中证消费电子,20211126,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,562950.SH,易方达中证消费电子主题ETF,931494.CSI,中证消费电子,20220120,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,561100.SH,富国中证消费电子主题ETF,931494.CSI,中证消费电子,20220208,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,159732.SZ,华夏国证消费电子主题ETF,980030.SZ,国证消费电子,20210823,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,159153.SZ,鹏华国证消费电子主题ETF,980030.SZ,国证消费电子,20260209,L,消费电子,strict_normalized_index_name,20260529
881124.TI,消费电子,I,159178.SZ,汇添富国证消费电子主题ETF,980030.SZ,国证消费电子,20260428,L,消费电子,strict_normalized_index_name,20260529
881126.TI,汽车零部件,I,159565.SZ,易方达中证汽车零部件主题ETF,931230.CSI,汽车零部件,20240226,L,汽车零部件,strict_normalized_index_name,20260529
881126.TI,汽车零部件,I,159306.SZ,平安中证汽车零部件主题ETF,931230.CSI,汽车零部件,20240514,L,汽车零部件,strict_normalized_index_name,20260529
881126.TI,汽车零部件,I,562700.SH,华夏中证汽车零部件主题ETF,931230.CSI,汽车零部件,20240514,L,汽车零部件,strict_normalized_index_name,20260529
881129.TI,通信设备,I,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,20190906,L,通信设备,strict_normalized_index_name,20260529
881129.TI,通信设备,I,159583.SZ,富国中证通信设备主题ETF,931271.CSI,通信设备主题,20240708,L,通信设备,strict_normalized_index_name,20260529
881141.TI,中药,I,159647.SZ,鹏华中证中药ETF,930641.CSI,中证中药,20220728,L,中药,strict_normalized_index_name,20260529
881141.TI,中药,I,562390.SH,银华中证中药ETF,930641.CSI,中证中药,20220728,L,中药,strict_normalized_index_name,20260529
881141.TI,中药,I,561510.SH,华泰柏瑞中证中药ETF,930641.CSI,中证中药,20220804,L,中药,strict_normalized_index_name,20260529
881141.TI,中药,I,560080.SH,汇添富中证中药ETF,930641.CSI,中证中药,20221017,L,中药,strict_normalized_index_name,20260529
881144.TI,医疗器械,I,159883.SZ,永赢中证全指医疗器械ETF,H30217.CSI,中证医疗器械,20210430,L,医疗器械,strict_normalized_index_name,20260529
881144.TI,医疗器械,I,159898.SZ,招商中证全指医疗器械ETF,H30217.CSI,中证医疗器械,20210604,L,医疗器械,strict_normalized_index_name,20260529
881144.TI,医疗器械,I,159797.SZ,汇添富中证全指医疗器械ETF,H30217.CSI,中证医疗器械,20220516,L,医疗器械,strict_normalized_index_name,20260529
881144.TI,医疗器械,I,562600.SH,华夏中证全指医疗器械ETF,H30217.CSI,中证医疗器械,20231211,L,医疗器械,strict_normalized_index_name,20260529
881145.TI,电力,I,159611.SZ,广发中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20220107,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,561560.SH,华泰柏瑞中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20220516,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,562350.SH,银华中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20220712,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,561700.SH,博时中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20220715,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,560580.SH,南方中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20230512,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,159146.SZ,华宝中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260120,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,159158.SZ,景顺长城中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260127,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,560270.SH,工银瑞信中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260306,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,516370.SH,汇添富中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260403,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,560450.SH,天弘中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260430,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,512140.SH,华安中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260511,L,电力,strict_normalized_index_name,20260529
881145.TI,电力,I,560930.SH,易方达中证全指电力公用事业ETF,H30199.CSI,中证电力指数,20260514,L,电力,strict_normalized_index_name,20260529
