asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20160831,20160901,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,3,0.1,140090.134,2,,False,insufficient_listing_history|recent_prices_incomplete|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20161010
20160930,20161010,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,23,1.0,17067.092,22,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20161101
20161031,20161101,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,39,1.0,44569.4935,38,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20161201
20161130,20161201,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,61,1.0,53741.092000000004,60,,False,insufficient_listing_history|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170103
20161230,20170103,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,83,1.0,31889.0615,82,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170203
20170126,20170203,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,101,1.0,13736.3495,100,0.4007846264090448,False,insufficient_listing_history|insufficient_liquidity|corr120_below_threshold|beta_outside_range,0.4728349168307287,0.5233249568301285,0.46720408821738546,0.22357285857432208,0.0724472016784951,1.0,0.3007846264090448,False,,20170301
20170228,20170301,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,1,0.0,383682.826,0,,False,insufficient_listing_history|recent_prices_incomplete|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170405
20170228,20170301,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,119,1.0,17885.6685,118,0.5246336060125515,False,insufficient_listing_history|insufficient_liquidity|corr120_below_threshold,0.5956813366825722,0.6942699977618998,0.5869091792761796,0.35483625487193615,0.06877546578380656,1.0,0.4246336060125515,False,,20170405
20170331,20170405,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,24,1.0,4472.1720000000005,23,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170502
20170331,20170405,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,142,1.0,14406.59,120,0.5471649347136138,False,insufficient_liquidity,0.6117089003379873,0.7407292709268549,0.595466920634462,0.3741877787527095,0.06830855789136546,1.0,0.44716493471361385,False,,20170502
20170428,20170502,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,42,1.0,3534.6975,41,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170601
20170428,20170502,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,160,1.0,11226.358,120,0.5704934049760804,False,insufficient_liquidity,0.642075987677583,0.7504647001778695,0.6240394873601753,0.4122615739521436,0.06869344989243975,1.0,0.4704934049760804,False,,20170601
20170531,20170601,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,62,1.0,1445.0405,61,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170703
20170531,20170601,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,180,1.0,4578.1625,120,0.5435894709037129,False,insufficient_liquidity,0.6505580909886255,0.6193062037871417,0.7180378405256557,0.4232258297507646,0.07094130662046605,1.0,0.4435894709037129,False,,20170703
20170630,20170703,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,84,1.0,868.271,83,,False,insufficient_listing_history|insufficient_liquidity|insufficient_pair_observations|corr120_below_threshold|corr60_below_threshold|beta_outside_range,,,,,,,,False,,20170801
20170630,20170703,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,202,1.0,13390.0345,120,0.539257290290317,False,insufficient_liquidity,0.6515889684426264,0.5991103139983399,0.7808911806229487,0.4245681837961257,0.07096509765703399,1.0,0.439257290290317,False,,20170801
20170731,20170801,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,105,1.0,932.893,104,0.36412990983684596,False,insufficient_listing_history|insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.5085959503745088,0.28412583415595616,0.3780120233648876,0.25866984073735,0.07478520988570372,1.0,0.2641299098368459,False,,20170901
20170731,20170801,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,223,1.0,34085.2405,120,0.5127500251330919,False,insufficient_liquidity,0.6323702049139263,0.5463244450667861,0.8039482514015747,0.39989207606288113,0.07456793165525201,1.0,0.4127500251330919,False,,20170901
20170831,20170901,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,128,1.0,1041.6799999999998,120,0.3085028745725749,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.4614311645316609,0.18339793746635097,0.33493772515410913,0.2129187196010447,0.07694893760884407,1.0,0.2085028745725749,False,,20171009
20170831,20170901,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,246,1.0,6591.7725,120,0.3823755658474799,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold,0.4896057116024564,0.40646258848475814,0.6372449539485813,0.23971375283374785,0.08033586084015684,1.0,0.2823755658474799,False,,20171009
20170929,20171009,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,149,1.0,1636.8885,120,0.1984517540969205,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.316318788809021,0.10113489307747654,0.2553916582796677,0.10005757615360589,0.07944944302499919,1.0,0.0984517540969205,False,,20171101
20170929,20171009,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,267,1.0,8676.543,120,0.33594695807981956,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold,0.47086687613590666,0.26902471102227266,0.5935338252804869,0.2217156150419871,0.08132662252876068,1.0,0.23594695807981955,False,,20171101
20171031,20171101,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,166,1.0,1885.51,120,0.16331518838410367,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.221292954792005,0.18129250084805898,0.18437427374088552,0.048970571840576294,0.08663369865896164,1.0,0.06331518838410366,False,,20171201
20171031,20171101,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,284,1.0,14032.2095,120,0.368515538438145,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.43606769509221216,0.48783374274633506,0.36742424024085935,0.19015503470303463,0.10554879948136207,1.0,0.268515538438145,False,,20171201
20171130,20171201,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,188,1.0,4809.873,120,-0.08495540229031137,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,-0.08313134343620672,-0.17770541444573715,-0.0733910859658047,0.006910820261508466,0.1118656930133407,1.0,-0.18495540229031138,False,,20180102
