expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
mean_5(ret_1d_rank),0.035039522979657456,1,201505,2,1,trend,0.0,0.9270700323908752,ret_5d_rank,False,manual_factor_duplicate,
"sub(risk_adj_20_60_rank, volume_z_20d_rank)",0.03353983112862551,1,202107,3,1,trend,0.0,0.5753967130301776,risk_adj_20_60_rank,True,,sector_factor_01
ts_rank_20(risk_adj_10_20_rank),0.03317043091982122,1,201505,2,1,trend,0.21705301728920992,0.6915868977762398,risk_adj_10_20_rank,True,,sector_factor_02
ts_rank_20(risk_adj_20_60_rank),0.03229611605141003,1,201505,2,1,trend,0.5482305082809041,0.5631839891084571,risk_adj_10_20_rank,True,,sector_factor_03
delta_5(risk_adj_20_60_rank),0.032191161331278896,1,201505,2,1,trend,0.7566518430519666,0.6029782580739338,risk_adj_5_20_rank,True,,sector_factor_04
"sub(ret_10d_rank, ma_gap_10_60_rank)",0.03186901155041069,1,201904,3,1,breakout,0.7334813145228312,0.5508875752573663,ma_gap_10_60_rank,True,,sector_factor_05
"add(max(abs(volatility_20d_rank), volatility_10d_rank), signed_sqrt(zscore_20(close_pos_20d_rank)))",0.03159935223795718,1,201505,8,3,volatility,0.6289768809645364,0.6747534521909869,close_pos_20d_rank,False,peak_month_limit,
slope_5(risk_adj_20_60_rank),0.03154416460056131,1,201505,2,1,trend,0.849432486498622,0.5317248817311153,risk_adj_5_20_rank,False,peak_month_limit,
"add(risk_adj_5_20_rank, volatility_10d_rank)",0.03151404902923576,1,201505,3,1,volatility,0.3930801566743394,0.7134044469107238,volatility_10d_rank,False,peak_month_limit,
"add(std_20(volatility_20d_rank), signed_sqrt(ma_gap_10_60_rank))",0.031207365435018373,-1,201802,5,2,volatility,0.5335716564870296,0.9730423881520941,ma_gap_10_60_rank,False,manual_factor_duplicate,
"add(abs(volatility_10d_rank), ts_rank_20(close_pos_20d_rank))",0.03106732159692723,1,201505,5,2,volatility,0.49634680802989006,0.5070784919805319,close_pos_20d_rank,False,peak_month_limit,
ts_rank_20(ret_10d_rank),0.031045322172526202,1,201505,2,1,trend,0.9047996502505969,0.6807403281253622,ret_10d_rank,False,peak_month_limit,
neg(slope_5(risk_adj_20_60_rank)),0.031044164600561308,-1,201505,3,2,trend,0.849432486498622,0.5317248817311153,risk_adj_5_20_rank,False,peak_month_limit,
