factor_id,model_column,family,kind,status,direct_dependencies,factor_dependencies,raw_sources,dependency_depth,derived_only_from_registered_factors,flagged_pair_count,max_abs_correlation_development,review_required
ret_1d,ret_1d_rank,trend,basis,baseline,close,,close,0,False,0,0.5289521212915957,False
ret_3d,ret_3d_rank,trend,basis,baseline,close,,close,0,False,0,0.7362590509202841,False
ret_5d,ret_5d_rank,trend,basis,baseline,close,,close,0,False,1,0.9293318223914574,True
ret_10d,ret_10d_rank,trend,basis,baseline,close,,close,0,False,2,0.9346027256313425,True
ret_20d,ret_20d_rank,trend,basis,baseline,close,,close,0,False,2,0.9500720175380227,True
ret_60d,ret_60d_rank,trend,basis,baseline,close,,close,0,False,1,0.8100849523958998,True
volatility_10d,volatility_10d_rank,risk,derived,baseline,ret_1d,ret_1d,close,1,True,1,0.8380647320762736,True
volatility_20d,volatility_20d_rank,risk,derived,baseline,ret_1d,ret_1d,close,1,True,1,0.8380647320762736,True
risk_adj_5_20,risk_adj_5_20_rank,trend,convenience,baseline_retained_after_ablation,ret_5d|volatility_20d,ret_1d|ret_5d|volatility_20d,close,2,True,1,0.9293318223914574,True
risk_adj_10_20,risk_adj_10_20_rank,trend,convenience,baseline_retained_after_ablation,ret_10d|volatility_20d,ret_10d|ret_1d|volatility_20d,close,2,True,1,0.9346027256313425,True
risk_adj_20_60,risk_adj_20_60_rank,trend,convenience,baseline_retained_after_ablation,ret_20d|ret_1d,ret_1d|ret_20d,close,1,True,2,0.9500720175380227,True
close_pos_20d,close_pos_20d_rank,breakout,derived,baseline,close|high|low,,close|high|low,0,False,0,0.7533686800279774,False
drawdown_60d,drawdown_60d_rank,risk,derived,baseline,close,,close,0,False,0,0.661602968715307,False
ma_gap_5_20,ma_gap_5_20_rank,trend,derived,derived_review,close,,close,0,False,3,0.8355867636295429,True
ma_gap_10_60,ma_gap_10_60_rank,trend,derived,derived_review,close,,close,0,False,1,0.8100849523958998,True
volume_z_20d,volume_z_20d_rank,activity,derived,derived_review,vol,,vol,0,False,1,0.9868211620125746,True
turnover_z_20d,turnover_z_20d_rank,activity,derived,derived_review,turnover_rate,,turnover_rate,0,False,1,0.9868211620125746,True
range_1d,range_1d_rank,risk,derived,baseline,high|low,,high|low,0,False,0,0.5530944769136685,False
market_breadth_20d,market_breadth_20d,market_context,context,experimental,ret_20d,ret_20d,close,1,True,0,0.41715866700811854,False
market_breadth_60d,market_breadth_60d,market_context,context,experimental,ret_60d,ret_60d,close,1,True,0,0.7525178996461228,False
market_dispersion_20d,market_dispersion_20d,market_context,context,experimental,ret_20d,ret_20d,close,1,True,0,0.18200358802694586,False
market_trend_60d,market_trend_60d,market_context,context,experimental,ret_1d,ret_1d,close,1,True,0,0.7525178996461228,False
market_vol_percentile,market_vol_percentile,market_context,context,experimental,ret_1d,ret_1d,close,1,True,0,0.2977711206031229,False
