left_factor,right_factor,scope,relation,same_family,flagged_by_development,high_correlation_periods,high_correlation_period_count,suggested_action,correlation_development,abs_correlation_development,correlation_selection,abs_correlation_selection,correlation_observation,abs_correlation_observation
volume_z_20d,turnover_z_20d,sector,empirical_only,True,True,development|selection|observation,3,controlled_pair_ablation,0.9868211620125746,0.9868211620125746,0.9877507525161527,0.9877507525161527,0.9838834427689784,0.9838834427689784
ret_20d,risk_adj_20_60,sector,right_derived_from_left,True,True,development|selection|observation,3,ablate_derived_representation,0.9500720175380227,0.9500720175380227,0.9386491488311539,0.9386491488311539,0.9367826555056875,0.9367826555056875
ret_10d,risk_adj_10_20,sector,right_derived_from_left,True,True,development|selection|observation,3,ablate_derived_representation,0.9346027256313425,0.9346027256313425,0.9211870100319721,0.9211870100319721,0.9247919067279816,0.9247919067279816
ret_5d,risk_adj_5_20,sector,right_derived_from_left,True,True,development|selection|observation,3,ablate_derived_representation,0.9293318223914574,0.9293318223914574,0.9219593758898476,0.9219593758898476,0.9284706294047139,0.9284706294047139
volatility_10d,volatility_20d,sector,same_raw_sources,True,True,development|selection|observation,3,controlled_pair_ablation,0.8380647320762736,0.8380647320762736,0.8540370527585258,0.8540370527585258,0.8790774097663461,0.8790774097663461
ret_20d,ma_gap_5_20,sector,same_raw_sources,True,True,development|selection|observation,3,controlled_pair_ablation,0.8355867636295429,0.8355867636295429,0.8137304947474364,0.8137304947474364,0.842891578980027,0.842891578980027
ret_10d,ma_gap_5_20,sector,same_raw_sources,True,True,development|selection|observation,3,controlled_pair_ablation,0.8238689935668624,0.8238689935668624,0.8149783807471858,0.8149783807471858,0.8279205644452975,0.8279205644452975
ret_60d,ma_gap_10_60,sector,same_raw_sources,True,True,development|observation,2,controlled_pair_ablation,0.8100849523958998,0.8100849523958998,0.7902908950214801,0.7902908950214801,0.8412458970962261,0.8412458970962261
risk_adj_20_60,ma_gap_5_20,sector,same_raw_sources,True,True,development,1,controlled_pair_ablation,0.8053928423811958,0.8053928423811958,0.7813645405046014,0.7813645405046014,0.7928753957641734,0.7928753957641734
risk_adj_10_20,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.7863730311370235,0.7863730311370235,0.7623480779825119,0.7623480779825119,0.7947054938841224,0.7947054938841224
risk_adj_10_20,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.7533686800279774,0.7533686800279774,0.7417071260771554,0.7417071260771554,0.7766694026273584,0.7766694026273584
market_breadth_60d,market_trend_60d,context,same_raw_sources,True,False,selection|observation,2,keep,0.7525178996461228,0.7525178996461228,0.8107303595830847,0.8107303595830847,0.9748783624796024,0.9748783624796024
ret_3d,ret_5d,sector,same_raw_sources,True,False,,0,keep,0.7362590509202841,0.7362590509202841,0.7247657840933195,0.7247657840933195,0.7512882635550567,0.7512882635550567
ret_10d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.7184395721942527,0.7184395721942527,0.7028476223897271,0.7028476223897271,0.7348825310152381,0.7348825310152381
risk_adj_20_60,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.7078739283365391,0.7078739283365391,0.7076555748104846,0.7076555748104846,0.7156522288122604,0.7156522288122604
ret_3d,risk_adj_5_20,sector,same_raw_sources,True,False,,0,keep,0.6949275498286528,0.6949275498286528,0.6808029452537802,0.6808029452537802,0.7033341574089954,0.7033341574089954
close_pos_20d,ma_gap_5_20,sector,overlapping_raw_sources,False,False,,0,keep,0.6932203154788041,0.6932203154788041,0.6860654317325366,0.6860654317325366,0.7161214431656421,0.7161214431656421
risk_adj_5_20,risk_adj_10_20,sector,same_raw_sources,True,False,,0,keep,0.6870910285802838,0.6870910285802838,0.6645281284712807,0.6645281284712807,0.6880058834636911,0.6880058834636911
ret_20d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.6805071833059424,0.6805071833059424,0.6793038678787952,0.6793038678787952,0.7048856106929737,0.7048856106929737
risk_adj_10_20,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.6756193985063179,0.6756193985063179,0.6468905974005107,0.6468905974005107,0.696014165673103,0.696014165673103
risk_adj_5_20,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.6646299910363019,0.6646299910363019,0.6465771805675896,0.6465771805675896,0.6754256720922227,0.6754256720922227
ret_5d,ret_10d,sector,same_raw_sources,True,False,,0,keep,0.6634096008289814,0.6634096008289814,0.6417703955917756,0.6417703955917756,0.6725897064175304,0.6725897064175304
ret_20d,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.6623900503792887,0.6623900503792887,0.647431557261168,0.647431557261168,0.7128939092794531,0.7128939092794531
drawdown_60d,ma_gap_10_60,sector,same_raw_sources,False,False,,0,keep,0.661602968715307,0.661602968715307,0.5944621832683807,0.5944621832683807,0.6658257008416738,0.6658257008416738
ret_10d,ret_20d,sector,same_raw_sources,True,False,,0,keep,0.6597235005600128,0.6597235005600128,0.6330117386371097,0.6330117386371097,0.6714957959117321,0.6714957959117321
ret_10d,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.6435984525494275,0.6435984525494275,0.616824154916509,0.616824154916509,0.635843245120419,0.635843245120419
ret_10d,risk_adj_5_20,sector,same_raw_sources,True,False,,0,keep,0.6408633147344456,0.6408633147344456,0.609097190126519,0.609097190126519,0.6492002936693932,0.6492002936693932
ret_20d,risk_adj_10_20,sector,same_raw_sources,True,False,,0,keep,0.6396308337751307,0.6396308337751307,0.5981583126793075,0.5981583126793075,0.6642338278662302,0.6642338278662302
risk_adj_20_60,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.6386713389661701,0.6386713389661701,0.610907287358022,0.610907287358022,0.6988262578276715,0.6988262578276715
ret_5d,risk_adj_10_20,sector,same_raw_sources,True,False,,0,keep,0.6344304152916379,0.6344304152916379,0.6140578852452857,0.6140578852452857,0.6318274799985085,0.6318274799985085
ret_20d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.6315292053634979,0.6315292053634979,0.5844311184723667,0.5844311184723667,0.6845997808874698,0.6845997808874698
ret_5d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.6300156987642377,0.6300156987642377,0.6158131089373461,0.6158131089373461,0.6342772392983043,0.6342772392983043
risk_adj_20_60,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.6226067384615227,0.6226067384615227,0.5904168430682306,0.5904168430682306,0.6593610980058381,0.6593610980058381
close_pos_20d,drawdown_60d,sector,overlapping_raw_sources,False,False,,0,keep,0.6001179721752226,0.6001179721752226,0.6029049261034634,0.6029049261034634,0.6565482517789027,0.6565482517789027
ret_60d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.5892742276225947,0.5892742276225947,0.5050799128054777,0.5050799128054777,0.5832624346574503,0.5832624346574503
drawdown_60d,ma_gap_5_20,sector,same_raw_sources,False,False,,0,keep,0.5852924682363058,0.5852924682363058,0.5399438198672053,0.5399438198672053,0.6352449812592003,0.6352449812592003
volatility_20d,range_1d,sector,empirical_only,True,False,,0,keep,0.5530944769136685,0.5530944769136685,0.498333394710244,0.498333394710244,0.48196098497878753,0.48196098497878753
ret_3d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.550332001545176,0.550332001545176,0.5377458947229683,0.5377458947229683,0.5467330387793236,0.5467330387793236
volatility_10d,range_1d,sector,empirical_only,True,False,,0,keep,0.5445686955924028,0.5445686955924028,0.505796193365212,0.505796193365212,0.4918829743342098,0.4918829743342098
ma_gap_5_20,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.5421418297672953,0.5421418297672953,0.5291067718014519,0.5291067718014519,0.5847169234272449,0.5847169234272449
ret_10d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.5360355733060547,0.5360355733060547,0.5040502316996653,0.5040502316996653,0.5634168540674342,0.5634168540674342
ret_1d,ret_3d,sector,same_raw_sources,True,False,,0,keep,0.5289521212915957,0.5289521212915957,0.5261467725139246,0.5261467725139246,0.5420420800905276,0.5420420800905276
risk_adj_10_20,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.5265784891143531,0.5265784891143531,0.5085967417982632,0.5085967417982632,0.5729589732607323,0.5729589732607323
ret_3d,ret_10d,sector,same_raw_sources,True,False,,0,keep,0.5037397772943852,0.5037397772943852,0.4835062388834774,0.4835062388834774,0.5240030940997269,0.5240030940997269
ret_20d,ret_60d,sector,same_raw_sources,True,False,,0,keep,0.49396519078697504,0.49396519078697504,0.4706725758013979,0.4706725758013979,0.5512227823204846,0.5512227823204846
ret_60d,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.4922026567264165,0.4922026567264165,0.45222369280539104,0.45222369280539104,0.5660339805238487,0.5660339805238487
ret_3d,risk_adj_10_20,sector,same_raw_sources,True,False,,0,keep,0.4852436774397943,0.4852436774397943,0.4700537679794597,0.4700537679794597,0.49169081400422743,0.49169081400422743
ret_5d,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.4808211716966994,0.4808211716966994,0.46200823753999376,0.46200823753999376,0.49177116183870534,0.49177116183870534
risk_adj_5_20,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.47495507519873814,0.47495507519873814,0.44239355558317806,0.44239355558317806,0.4876794331034559,0.4876794331034559
risk_adj_5_20,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.47428906918485925,0.47428906918485925,0.45019137289827793,0.45019137289827793,0.48358778090494986,0.48358778090494986
risk_adj_5_20,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.47046864294978114,0.47046864294978114,0.4769559908491434,0.4769559908491434,0.44947729830961786,0.44947729830961786
ret_5d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.4668270045567473,0.4668270045567473,0.47262284800622034,0.47262284800622034,0.4600161608965316,0.4600161608965316
risk_adj_5_20,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.4617215570894779,0.4617215570894779,0.4753093418599753,0.4753093418599753,0.44868935370146035,0.44868935370146035
ret_5d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.45648758008708173,0.45648758008708173,0.4704849744147747,0.4704849744147747,0.45871119774115543,0.45871119774115543
risk_adj_10_20,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.45389578344111436,0.45389578344111436,0.4761949703138352,0.4761949703138352,0.4541396348011252,0.4541396348011252
