ts_code,name,list_date,delist_date,trading_days,median_amount,first_adjusted_open,last_adjusted_open,adjusted_price_return,first_adjusted_nav,last_adjusted_nav,adjusted_nav_return,price_nav_gap,eligible,selected
511880.SH,银华货币ETF-A,20130418,,244,7809005.489499999,114.100414,118.14094819999998,0.03541209061695416,1.14078225,1.18214297,0.03625645472657024,0.0008443641096160803,True,True
511990.SH,华宝现金添益货币ETF-A,20130128,,244,11850078.554499999,99.981,100.0,0.00019003610686030292,11414.4624,11836.9037,0.03700930321519125,0.036819267108330944,False,False
159005.SZ,汇添富收益快钱货币ETF-A,20150113,,244,1577076.0315,100.0,99.999,-1.0000000000065512e-05,10545.2633,10870.4966,0.030841648117027054,0.03085164811702712,False,False
511660.SH,建信现金添益货币ETF-H,20160921,,244,1496496.1014999999,99.985,100.0,0.00015002250337547984,10085.3186,10478.4598,0.03898153500078827,0.03883151249741279,False,False
511810.SH,南方理财金货币ETF-H,20150105,,244,1468545.154,99.975,99.993,0.00018004501125279404,10619.3381,11023.3481,0.03804474405047875,0.03786469903922596,False,False
511690.SH,大成添益货币ETF-E,20161020,,244,888406.6784999999,99.988,99.99,2.0002400287877364e-05,10063.4384,10443.783,0.037794696492602364,0.03777469409231449,False,False
511900.SH,富国收益宝货币ETF-H,20151209,,244,636404.4675,99.971,99.995,0.00024006962018985334,10264.1259,10629.8644,0.03563269815308878,0.03539262853289893,False,False
159001.SZ,易方达保证金收益货币ETF-A,20141020,,244,465605.728,99.999,99.978,-0.0002100021000209784,11313.8025,11704.3824,0.03452242515281667,0.03473242725283765,False,False
159003.SZ,招商保证金快线货币ETF-A,20141020,,244,453166.45050000004,99.999,99.99,-9.000090000899075e-05,11318.3518,11753.8818,0.038479984338355644,0.038569985238364635,False,False
511820.SH,鹏华添利货币ETF-B,20160222,,244,433220.712,99.99,99.98,-0.00010001000100001711,10214.2383,10587.0772,0.03650187992970544,0.036601889930705456,False,False
511650.SH,华夏快线货币ETF-E,20170116,,235,148656.578,100.0,99.933,-0.0006699999999999484,10008.6186,10359.6583,0.03507374134528418,0.03574374134528413,False,False
511850.SH,招商财富宝货币ETF-E,20160718,,244,92235.5165,99.994,100.001,7.000420025216059e-05,10134.1736,10568.8484,0.04289198282531892,0.04282197862506676,False,False
511980.SH,汇添富添富通货币ETF-E,20151102,,244,89166.9975,99.981,99.995,0.00014002660505507691,10308.1813,10663.2123,0.0344416720726477,0.03430164546759262,False,False
511860.SH,博时保证金实时货币ETF-A,20141209,,244,78514.89,99.988,99.999,0.00011001320158410266,10579.1451,10937.7939,0.03390149171883472,0.03379147851725062,False,False
511800.SH,易方达货币ETF-E,20141208,,244,67377.748,99.981,100.0,0.00019003610686030292,10615.9429,10980.1153,0.034304291519879904,0.0341142554130196,False,False
511830.SH,华泰柏瑞货币ETF-A,20150803,,244,52189.5845,99.996,99.974,-0.00022000880035188963,10379.1756,10777.4708,0.03837445432564013,0.03859446312599202,False,False
511600.SH,华安日日鑫货币ETF-H,20160927,,244,46970.035,99.97,100.01,0.00040012003601086477,10071.3337,10460.2866,0.038619800672476945,0.03821968063646608,False,False
511700.SH,平安货币ETF-E,20161017,,244,34988.220499999996,99.998,99.99,-8.000160003207579e-05,10070.8163,10474.2422,0.040058907637904095,0.04013890923793617,False,False
511910.SH,融通易支付货币ETF-E,20160704,,244,31463.618499999997,99.982,99.994,0.00012002160388879801,10122.802,10425.3229,0.02988509505569703,0.029765073451808233,False,False
511670.SH,华泰紫金天天金货币ETF-A,20170828,,85,21368.991,99.97,99.967,-3.000900270078155e-05,10000.0,10152.3306,0.01523305999999991,0.015263069002700691,False,False
511970.SH,国寿安保货币ETF-E,20160718,,243,17559.805,99.98,100.001,0.00021004200840168963,10117.5955,10478.6594,0.03568673011290091,0.03547668810449922,False,False
511770.SH,金鹰现金增益货币ETF-E,20170410,,182,13635.176,99.996,99.97,-0.00026001040041601087,10000.0,10316.8989,0.03168989,0.03194990040041601,False,False
511930.SH,国联日日盈货币ETF-A,20151215,,233,9847.208,99.984,99.95,-0.0003400544087053259,10283.8049,10640.1469,0.03465079350153766,0.034990847910242984,False,False
511680.SH,安信保证金货币ETF,20160927,20181030,242,8366.501,99.95,100.086,0.0013606803401700063,10067.647,10386.032,0.03162456927621693,0.030263888936046923,False,False
511960.SH,嘉实快线货币ETF-H,20160111,,244,6803.8105,99.99,100.0,0.00010001000100023916,10248.1229,10652.9153,0.039499175014772625,0.039399165013772386,False,False
511890.SH,景顺长城货币ETF,20150803,20180412,231,891.129,99.971,99.983,0.00012003481009492667,10325.9923,10526.595,0.019426965871357504,0.019306931061262578,False,False
511620.SH,国泰瞬利货币ETF-A,20170907,,75,830.236,99.939,100.03,0.000910555438817795,10000.0,10073.0122,0.007301219999999997,0.006390664561182202,False,False
511920.SH,广发货币ETF-E,20160328,,243,140.775,99.973,109.788,0.09817650765706731,10194.0422,10537.6433,0.03370607000233927,0.06447043765472804,False,False
511950.SH,广发添利货币ETF-A,20161219,,195,55.196,99.913,99.957,0.00044038313332595,10028.6118,10314.6776,0.028524964940810582,0.028084581807484632,False,False
511760.SH,德邦现金宝货币ETF-E,20161215,20180612,187,14.998,99.96,99.996,0.00036014405762307966,10021.2168,10182.0322,0.016047492356417115,0.015687348298794035,False,False
