interval,anchor,cost_bps,total_ret,ann_ret,max_drawdown,annualized_turnover,average_exposure,positive_years,worst_year
5,0,20,0.269172834,0.042118381,-0.264697372,24.838713805,0.580522563,3,-0.165433672
5,0,30,0.099220796,0.016508125,-0.290050695,24.838713805,0.580522563,2,-0.174204555
5,1,20,0.390106470,0.058664424,-0.236466340,24.905563404,0.594165802,3,-0.144581814
5,1,30,0.203496191,0.032578611,-0.252307639,24.905563404,0.594165802,3,-0.153774331
5,2,20,0.240374639,0.037986833,-0.265668988,25.236642740,0.589380962,4,-0.156521504
5,2,30,0.071812066,0.012075337,-0.281707263,25.236642740,0.589380962,3,-0.165811823
5,3,20,0.061397757,0.010366442,-0.301639199,25.995918943,0.599320480,3,-0.190677843
5,3,30,-0.086872612,-0.015606152,-0.347634599,25.995918943,0.599320480,3,-0.199414193
5,4,20,0.388089505,0.058398407,-0.197857984,25.258207471,0.594480281,3,-0.140800649
5,4,30,0.199295977,0.031953990,-0.219534958,25.258207471,0.594480281,2,-0.148748208
10,0,20,0.195631346,0.031407537,-0.277945661,14.414736660,0.572546671,4,-0.189052698
10,0,30,0.099911061,0.016618576,-0.294163177,14.414736660,0.572546671,4,-0.194406425
10,1,20,0.128152151,0.021089091,-0.272742847,14.768016829,0.583212972,3,-0.179021039
10,1,30,0.035711455,0.006091503,-0.281795608,14.768016829,0.583212972,3,-0.184593914
10,2,20,0.013318846,0.002292593,-0.239545249,15.155796335,0.588546592,4,-0.159425257
10,2,30,-0.071796243,-0.012812140,-0.252973044,15.155796335,0.588546592,3,-0.165378233
10,3,20,-0.015063508,-0.002623534,-0.219324627,15.428995761,0.595698474,3,-0.190381870
10,3,30,-0.099223254,-0.017923591,-0.229935301,15.428995761,0.595698474,3,-0.196345851
10,4,20,0.464473447,0.068256747,-0.196690684,15.448716731,0.600209888,4,-0.152485079
10,4,30,0.339185304,0.051848504,-0.201568963,15.448716731,0.600209888,4,-0.158168332
10,5,20,0.931850269,0.120715574,-0.167178904,15.069954262,0.585598568,5,-0.119167713
10,5,30,0.770451909,0.103920094,-0.170830310,15.069954262,0.585598568,5,-0.124604525
10,6,20,1.064322459,0.133654530,-0.163666197,15.324898606,0.603010431,5,-0.130679505
10,6,30,0.889062918,0.116379572,-0.174034980,15.324898606,0.603010431,5,-0.136475114
10,7,20,0.601704745,0.084946950,-0.218152825,14.862067560,0.589259826,4,-0.115661856
10,7,30,0.469656093,0.068910104,-0.228384649,14.862067560,0.589259826,4,-0.121304686
10,8,20,0.189405516,0.030475986,-0.291508630,15.512803225,0.601557981,3,-0.220557514
10,8,30,0.087243272,0.014582386,-0.316584077,15.512803225,0.601557981,3,-0.232198913
10,9,20,0.370353060,0.056045289,-0.267854133,14.898232058,0.587158164,3,-0.115718146
10,9,30,0.257119564,0.040398683,-0.277366631,14.898232058,0.587158164,2,-0.121238790
