candidate,drawdown_control,cost_bps,period,total_return,annualized_return,max_drawdown,annualized_turnover,median_holding_sessions,positive_years,worst_year,selection_2024_2025_opened,passed
simple_v1_reference,portfolio_net,20,2018-2023,0.134770440,0.022123351,-0.189337020,21.060020,5,4,-0.127254305,false,false
flow_downgrade,portfolio_net,20,2018-2023,0.010659039,0.001836756,-0.189337020,18.923429,5,2,-0.102196282,false,false
flow_confirm,portfolio_net,20,2018-2023,0.123956026,0.020430747,-0.186069690,20.382955,5,3,-0.102196282,false,false
net_flow_veto,portfolio_net,20,2018-2023,0.211128643,0.033709046,-0.194461149,19.327408,5,3,-0.082137510,false,false
flow_regime,portfolio_net,20,2018-2023,0.216630059,0.034520208,-0.192364158,20.462359,5,3,-0.094041965,false,false
flow_boost,portfolio_net,20,2018-2023,0.181432858,0.029277158,-0.186069690,21.438601,5,4,-0.127254305,false,false
flow_boost,portfolio_net,30,2018-2023,-0.044971369,-0.007932326,-0.191779721,18.027838,5,3,-0.168861569,false,false
net_flow_boost,portfolio_net,20,2018-2023,0.216539490,0.034506879,-0.190669844,21.499873,5,4,-0.127254305,false,false
retain_top20_hold10_no_drawdown_cap,disabled,20,2018-2023,0.145885001,0.023849089,-0.223408496,17.550065,10,4,-0.134467852,false,false
retain_top20_hold10_net_flow_veto,disabled,20,2018-2023,0.287764609,0.044744662,-0.203130063,15.651153,10,3,-0.107037796,false,false
retain_top20_hold10_severe_flow_veto,disabled,20,2018-2023,0.219647964,0.034963899,-0.223408496,17.089808,10,4,-0.130251144,false,false
retain_top20_hold10_moderate_flow_veto,disabled,20,2018-2023,0.278121526,0.043386419,-0.226721795,16.860444,10,4,-0.096106710,false,false
retain_top20_hold10_moderate_flow_market_panic,disabled,20,2018-2023,0.283694812,0.044172454,-0.220257410,16.109118,10,4,-0.069657256,false,false
retain_top20_hold10_moderate_flow_market_panic,portfolio_gross,20,2018-2023,0.146926200,0.024010044,-0.192547735,13.450912,10,3,-0.068464239,false,false
retain_top20_hold10_moderate_flow_market_panic,portfolio_gross,30,2018-2023,0.061104070,0.010318050,-0.202440959,13.450912,10,3,-0.080265406,false,false
