family,candidate,total_return,annualized_return,maximum_drawdown,annualized_turnover,median_holding_sessions,positive_years,worst_year_return,return_gate_pass,drawdown_gate_pass,turnover_gate_pass,year_gate_pass,all_development_gates_pass,selection_opened
baseline,simple_v2,0.2331438430388202,0.03693701582357001,-0.16754414259913852,14.364548042160093,10.0,4,-0.14756769784446477,true,true,true,true,true,false
absolute_exposure_mapping,clear_weak_0_10_70_100,0.19828605375967046,0.03180353262095026,-0.16282887011428393,10.955742960574073,10.0,4,-0.09124684840460451,false,true,true,true,false,false
absolute_exposure_mapping,clear_weak_0_10_80_100,0.2253559130258176,0.03580060130183216,-0.1628288701142836,11.071538160064435,10.0,4,-0.09124684840460451,false,true,true,true,false,false
absolute_exposure_mapping,clear_weak_0_00_75_100,0.12321616735642182,0.020314457860235446,-0.18059940508497363,9.548485694878591,10.0,5,-0.09384768866249549,false,true,true,true,false,false
regime_confirmation,confirm_2_3_map_30_70,0.051669564790926215,0.008757560925472196,-0.19683765177613355,14.269834825086676,10.0,4,-0.15805959200177266,false,true,true,true,false,false
regime_confirmation,confirm_2_2_map_30_70,-0.013476776267940194,-0.002345623759078319,-0.17064940206680146,15.105027224369694,10.0,4,-0.13961279526189574,false,true,true,true,false,false
regime_confirmation,confirm_2_3_map_10_80,0.22716674492599176,0.03606536961466733,-0.17301936698630271,12.966689630799804,10.0,3,-0.12466684923939908,false,true,true,false,false,false
regime_confirmation,confirm_2_2_map_10_80,0.14303162541240955,0.023407375879862302,-0.18623966900231148,14.250425898485338,10.0,3,-0.05610854453414105,false,true,true,false,false,false
risk_score_absolute_mapping,score_band_20_40_60,0.19279571980319266,0.03098375004335674,-0.16385378666966155,14.225102006119393,10.0,3,-0.06453132827847596,false,true,true,false,false,false
risk_score_absolute_mapping,score_band_25_45_65,0.25134137963978875,0.03956944180949429,-0.18013151269874605,14.00587311662685,10.0,3,-0.03134598843222092,false,true,true,false,false,false
risk_score_absolute_mapping,score_band_30_50_70,0.33231850817111064,0.05091303729949481,-0.16217983170759664,12.577893756031338,10.0,3,-0.04875159847264321,true,true,true,false,false,false
risk_score_extreme_overlay,extreme_overlay_25_75,0.2429091223269777,0.03835360856560155,-0.18920009873764765,13.065685216126662,10.0,3,-0.07923089594149646,false,true,true,false,false,false
risk_score_extreme_overlay,extreme_overlay_30_70,0.1025864388956137,0.0170461271509319,-0.20834685031597855,13.278661491481824,10.0,3,-0.04430540322613896,false,false,true,false,false,false
model_horizon,annual_expanding_10d,-0.12544733420942378,-0.022932664740886288,-0.2108370110152018,9.656267422451537,10.0,3,-0.1540551396943476,false,false,true,false,false,false
model_horizon,annual_expanding_blend_5d_10d,-0.045649330938347554,-0.008054252307254872,-0.19657039410864663,12.682411963015765,10.0,2,-0.15407224492871108,false,true,true,false,false,false
formula_ensemble,lgbm75_momentum10_20_25,0.11059742643662629,0.018321251022263896,-0.18257375437055823,12.353153191548522,10.0,3,-0.1316233755011308,false,true,true,false,false,false
formula_ensemble,lgbm75_lowvol_momentum_25,0.1655259711026562,0.02686515097660891,-0.16628048143072727,12.764267980129619,10.0,3,-0.12445211196598749,false,true,true,false,false,false
