row_type,strategy_id,year,start,end,train_end,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate
year,rolling_lgbm5_top5,2018,20180101,20181231,20171231,242,-0.144199000217357,-0.1496880614927819,0.2773239718714995,-0.44500776578366474,-0.27349218026787603,0.5082644628099173
year,rolling_lgbm5_top5,2019,20190101,20191231,20181231,243,0.6265942272050022,0.6561679775790272,0.24857344306820217,2.1562501802260825,-0.18131442712709667,0.5637860082304527
year,rolling_lgbm5_top5,2020,20200101,20201231,20191231,242,0.5804442497949425,0.61062040332501,0.25947097481883064,1.9697727369462221,-0.11850807126113816,0.5826446280991735
year,rolling_lgbm5_top5,2021,20210101,20211231,20201231,242,0.36856718786138165,0.3864268321399076,0.2168022230836376,1.6169259857871476,-0.13079609814324733,0.5619834710743802
year,rolling_lgbm5_top5,2022,20220101,20221231,20211231,241,0.10337036047327186,0.10833551276399178,0.2602141204873916,0.5268637734987524,-0.2232500398934344,0.5352697095435685
year,rolling_lgbm5_top5,2023,20230101,20231231,20221231,241,0.10916053193422037,0.11441793800842204,0.17978212240232364,0.6926779757126896,-0.13154856697924744,0.5477178423236515
year,rolling_lgbm5_top5,2024,20240101,20241231,20231231,241,0.5754001836941411,0.6084235917708907,0.39832436340697963,1.392612601890001,-0.2960210818749528,0.5518672199170125
year,rolling_lgbm5_top5,2025,20250101,20251231,20241231,242,0.7382535289068011,0.7784233403207899,0.18857299327885227,3.150730942814931,-0.06648786321244726,0.6322314049586777
year,rolling_lgbm5_top5,2026,20260101,20260529,20251231,94,0.20763901918789052,0.6582929724035804,0.22055660321916026,2.4051018120014898,-0.05262508375645669,0.5531914893617021
period,rolling_lgbm5_top5,development,20180103,20231229,annual_expanding,1451,2.684792536922875,0.25421167247704424,0.24305222395418555,1.0546764181307964,-0.27349218026787603,0.5499655410062027
period,rolling_lgbm5_top5,selection,20240103,20251231,annual_expanding,483,1.7384449287467665,0.6914647927429793,0.31142437812261436,1.8446467455773745,-0.2960210818749528,0.5921325051759835
period,rolling_lgbm5_top5,legacy_observation,20260106,20260529,annual_expanding,94,0.20763901918789052,0.6582929724035804,0.22055660321916026,2.4051018120014898,-0.05262508375645669,0.5531914893617021
summary,rolling_lgbm5_top5,,20180101,20260529,annual_expanding,2028,11.185804021453096,0.36435889636503105,0.26018922086587243,1.3252432544479937,-0.3426453718249365,0.5601577909270217
