period,comparison_order,from_layer,to_layer,component,delta_log_return,delta_total_ret,delta_sharpe,delta_max_drawdown,delta_avg_turnover
development,1,raw_top5_gross,smoothed_top5_gross,score_smoothing,0.08004188697019754,0.19963063653764035,0.07297280116533589,-0.030668288404345323,-0.2872194156198444
development,2,smoothed_top5_gross,stateful_full_exposure_gross,holding_rules,-0.0843943376986257,-0.2100346799270647,-0.05562145739621982,-0.008008596694562997,-0.2167973691196548
development,3,stateful_full_exposure_gross,risk_control_cash_gross,market_and_drawdown_control,-0.5427650474359007,-0.9990623529679261,-0.2537130801691708,0.22278785819911417,-0.08795452202949666
development,4,risk_control_cash_gross,risk_control_low_risk_gross,low_risk_residual_asset,0.08937210326054384,0.12958548895438082,0.11478926872422424,-0.004276101413184907,-0.0004161265041102147
development,5,risk_control_low_risk_gross,simple_product_20bp,trading_cost_20bp,-0.2894551119503543,-0.38094185002917635,-0.371728551647283,-0.032185079278226,-0.015625278083165675
selection,1,raw_top5_gross,smoothed_top5_gross,score_smoothing,0.023340625316425223,0.053598268430597784,0.03874106888542905,0.00032011734131853764,-0.2623868958723492
selection,2,smoothed_top5_gross,stateful_full_exposure_gross,holding_rules,-0.11929632478722907,-0.26126212946048977,-0.1795443742500853,-0.012960680555273218,-0.2031449987043318
selection,3,stateful_full_exposure_gross,risk_control_cash_gross,market_and_drawdown_control,-0.31971130843020995,-0.5642462420965593,0.17960384246975858,0.26029059574525704,-0.07243064518887861
selection,4,risk_control_cash_gross,risk_control_low_risk_gross,low_risk_residual_asset,0.013573625377867604,0.02046844461370423,0.051603334959876124,-1.1102230246251565e-16,4.618531617150978e-07
selection,5,risk_control_low_risk_gross,simple_product_20bp,trading_cost_20bp,-0.10534991092648605,-0.15180695608689132,-0.363127301590463,-0.006624680022303209,-0.0023756657703717515
same_window_2026,1,raw_top5_gross,smoothed_top5_gross,score_smoothing,0.038932320694008773,0.044195211059576245,0.508902903820414,-0.003942037735471859,-0.29201338827781165
same_window_2026,2,smoothed_top5_gross,stateful_full_exposure_gross,holding_rules,-0.055162096244720155,-0.062116798511813176,-0.7560507586507117,-0.006443699193878216,-0.19157807822883716
same_window_2026,3,stateful_full_exposure_gross,risk_control_cash_gross,market_and_drawdown_control,-0.03444306037830982,-0.03708334734690988,-0.12334425949102856,0.012585693664597941,-0.05196492932356561
same_window_2026,4,risk_control_cash_gross,risk_control_low_risk_gross,low_risk_residual_asset,0.0014521429373698935,0.001537804924975461,0.027755465242764288,-2.220446049250313e-16,-2.0423810115355323e-08
same_window_2026,5,risk_control_low_risk_gross,simple_product_20bp,trading_cost_20bp,-0.034942231516090154,-0.03639085778519102,-0.6452203688335224,-0.010839239840187975,-0.0006589546809844526
observation,1,raw_top5_gross,smoothed_top5_gross,score_smoothing,0.011666416185665274,0.011202346757878678,0.09758617763974806,-0.04378143549396829,-0.287319754517951
observation,2,smoothed_top5_gross,stateful_full_exposure_gross,holding_rules,0.018221890643226685,0.017760643262552667,0.1308420884027727,0.03242787895747401,-0.18084580061919808
observation,3,stateful_full_exposure_gross,risk_control_cash_gross,market_and_drawdown_control,0.054481734151549596,0.05507458993050818,0.5854979216897646,0.1911371137178869,-0.1073034857164233
observation,4,risk_control_cash_gross,risk_control_low_risk_gross,low_risk_residual_asset,0.0031705726117744887,0.0032984018349420108,0.044621803245485814,-2.220446049250313e-16,-4.1918306353805335e-08
observation,5,risk_control_low_risk_gross,simple_product_20bp,trading_cost_20bp,-0.03918787086411885,-0.04004276679979446,-0.547578750819879,-0.010839239840187975,-0.00043172892892083536
