period,layer,month,gross_ret,net_ret,total_cost
development,raw_top5_gross,201801,0.0021074888697878436,0.0021074888697878436,0.0
development,raw_top5_gross,201802,-0.023163012091655166,-0.023163012091655166,0.0
development,raw_top5_gross,201803,0.03292078611789173,0.03292078611789173,0.0
development,raw_top5_gross,201804,0.03790018019869401,0.03790018019869401,0.0
development,raw_top5_gross,201805,0.009980767291794868,0.009980767291794868,0.0
development,raw_top5_gross,201806,-0.11943064316827345,-0.11943064316827345,0.0
development,raw_top5_gross,201807,0.08494529454433453,0.08494529454433453,0.0
development,raw_top5_gross,201808,-0.08951064294591304,-0.08951064294591304,0.0
development,raw_top5_gross,201809,-0.008642669440230955,-0.008642669440230955,0.0
development,raw_top5_gross,201810,-0.12459430448141318,-0.12459430448141318,0.0
development,raw_top5_gross,201811,-0.021938776191734344,-0.021938776191734344,0.0
development,raw_top5_gross,201812,0.005121611417018279,0.005121611417018279,0.0
development,raw_top5_gross,201901,0.04936785449013903,0.04936785449013903,0.0
development,raw_top5_gross,201902,0.18068378406594054,0.18068378406594054,0.0
development,raw_top5_gross,201903,0.13932689645384877,0.13932689645384877,0.0
development,raw_top5_gross,201904,-0.001031454545553756,-0.001031454545553756,0.0
development,raw_top5_gross,201905,-0.021288703484608873,-0.021288703484608873,0.0
development,raw_top5_gross,201906,0.062228212745848444,0.062228212745848444,0.0
development,raw_top5_gross,201907,-0.0132330930236908,-0.0132330930236908,0.0
development,raw_top5_gross,201908,-0.005319475820265374,-0.005319475820265374,0.0
development,raw_top5_gross,201909,-0.010626092482749816,-0.010626092482749816,0.0
development,raw_top5_gross,201910,0.015252184204214592,0.015252184204214592,0.0
development,raw_top5_gross,201911,-0.01757790520901803,-0.01757790520901803,0.0
development,raw_top5_gross,201912,0.06805134976617233,0.06805134976617233,0.0
development,raw_top5_gross,202001,0.06138304473155687,0.06138304473155687,0.0
development,raw_top5_gross,202002,0.036227043037980744,0.036227043037980744,0.0
development,raw_top5_gross,202003,-0.07471954634303457,-0.07471954634303457,0.0
development,raw_top5_gross,202004,0.05942514607257077,0.05942514607257077,0.0
development,raw_top5_gross,202005,0.05036155855809499,0.05036155855809499,0.0
