period,layer,boundary_mode,first_return_date,last_return_date,gross_total_ret,log_return,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,raw_top5_gross,continuous_carry,20180103,20231229,1.3955931973683753,0.8736308817682985,1456,1.3955931973683753,0.16323549806065318,0.24712316691932998,0.7360139615369404,-0.3369868123741713,0.5309065934065934,0.6915842184279348,0.0,5.0,,1.0,0.0,174.27922304383958,1.0,0,,,,
selection,raw_top5_gross,continuous_carry,20240102,20251231,1.2696561224585814,0.8196283321141515,485,1.2696561224585814,0.5309198159121045,0.33626926718358796,1.4336536349350522,-0.3411247007904007,0.5360824742268041,0.6449907537999777,0.0,5.0,,1.0,0.0,162.53766995759437,1.0,0,,,,
same_window_2026,raw_top5_gross,continuous_carry,20260105,20260529,0.11322627058008017,0.10726234954680262,95,0.11322627058008017,0.32913385818354746,0.2044499496693007,1.4947578418394976,-0.06642555803829664,0.5894736842105263,0.6684797793929163,0.0,5.0,,1.0,0.0,168.4569044070149,1.0,0,,,,
observation,raw_top5_gross,continuous_carry,20260105,20260828,-0.006196533337842425,-0.006215811530447868,159,-0.006196533337842425,-0.009803108058282328,0.2330685229621398,0.07417226063534786,-0.24400915848444138,0.5220125786163522,0.6805307155484409,0.0,5.0,,1.0,0.0,171.4937403182071,0.9937106918238994,0,,,,
development,smoothed_top5_gross,continuous_carry,20180103,20231229,1.5952238339060156,0.953672768738496,1456,1.5952238339060156,0.17946240824727155,0.23979117017790164,0.8089867627022763,-0.3676551007785166,0.540521978021978,0.40436480280809045,0.0,5.0,,1.0,0.0,101.8999303076388,1.0,0,,,,
selection,smoothed_top5_gross,continuous_carry,20240102,20251231,1.3232543908891792,0.8429689574305768,485,1.3232543908891792,0.549599083703707,0.3355681034047645,1.4723947038204812,-0.34080458344908215,0.5525773195876289,0.38260385792762847,0.0,5.0,,1.0,0.0,96.41617219776238,1.0,0,,,,
same_window_2026,smoothed_top5_gross,continuous_carry,20260105,20260529,0.1574214816396564,0.1461946702408114,95,0.1574214816396564,0.4737358905104989,0.2040639287600296,2.0036607456599116,-0.0703675957737685,0.6,0.3764663911151046,0.0,5.0,,1.0,0.0,94.86953056100636,1.0,0,,,,
observation,smoothed_top5_gross,continuous_carry,20260105,20260828,-0.02827635283412111,-0.02868382856182658,159,-0.02827635283412111,-0.04444328647493356,0.2412118883853223,-0.06753092924511628,-0.28779059397840967,0.5220125786163522,0.39208343042278615,0.0,5.0,,1.0,0.0,98.80502446654211,0.9937106918238994,0,,,,
development,stateful_full_exposure_gross,continuous_carry,20180103,20231229,1.3657343186652668,0.8610884679007833,1456,1.3657343186652668,0.16071308247298233,0.24299389090775733,0.7354180019661875,-0.355550998243931,0.5336538461538461,0.10407794746291722,0.0,5.0,,1.0,-2.577303450022685e-17,26.22764276065514,0.3949175824175824,0,,,,
selection,stateful_full_exposure_gross,continuous_carry,20240102,20251231,0.8200512154768334,0.5988646410646582,485,0.8200512154768334,0.3650112343040901,0.32464759669320237,1.1191856965799154,-0.36001575124717744,0.5278350515463918,0.10394279415475739,0.0,5.0,,1.0,-1.808404514337884e-17,26.193584126998864,0.3649484536082474,0,,,,
same_window_2026,stateful_full_exposure_gross,continuous_carry,20260105,20260529,0.07009820236411235,0.06775042217286589,95,0.07009820236411235,0.1968784900397884,0.18193796618994115,1.0788696868512972,-0.06738774330976871,0.5578947368421052,0.10455893216989419,0.0,5.0,,1.0,-3.389101864645215e-17,26.348850906813336,0.4,0,,,,
observation,stateful_full_exposure_gross,continuous_carry,20260105,20260828,0.04553466963085784,0.04452840015057205,159,0.04553466963085784,0.07312324090981681,0.23331908855465175,0.41928726915110537,-0.2319819961449321,0.5408805031446541,0.11257369317838105,0.0,5.0,,1.0,-2.3042364662031552e-17,28.368570680952025,0.4276729559748428,0,,,,
development,market_only_cash_gross,continuous_carry,20180103,20231229,0.31089681170111594,0.2707114920736647,1456,0.31089681170111594,0.04796890230937789,0.1484211256744352,0.39045994353466196,-0.204761172143352,0.48145604395604397,0.06964461258657931,0.0,3.0,,0.5218675147545917,0.47813248524540825,17.550442371817986,0.31112637362637363,0,,,,
selection,market_only_cash_gross,continuous_carry,20240102,20251231,0.4277704621981262,0.35611411023959694,485,0.4277704621981262,0.2032575286914562,0.13868168324631072,1.4036384427564879,-0.07589484958499781,0.5030927835051546,0.06746068819722074,0.0,5.0,,0.5737821964770495,0.4262178035229506,17.000093425699628,0.27422680412371137,0,,,,
same_window_2026,market_only_cash_gross,continuous_carry,20260105,20260529,0.03545939292077871,0.03484518613602761,95,0.03545939292077871,0.09683794100032661,0.10710466078055092,0.916586668937754,-0.05508435848958426,0.4842105263157895,0.08575392688376132,0.0,5.0,,0.644846965601131,0.3551530343988691,21.609989574707853,0.2736842105263158,0,,,,
observation,market_only_cash_gross,continuous_carry,20260105,20260828,0.044914521671497454,0.0439350846276383,159,0.044914521671497454,0.07211460471251585,0.0914786956452798,0.8069404916029391,-0.05508435848958426,0.4025157232704403,0.06582571160540493,0.0,3.0,,0.4572910519887416,0.5427089480112585,16.58807932456204,0.22641509433962265,0,,,,
development,risk_control_cash_gross,continuous_carry,20180103,20231229,0.30306767888000863,0.26472123760734567,1456,0.30306767888000863,0.046882957585592244,0.11626431885212293,0.4523724628916348,-0.1674740337581344,0.4539835164835165,0.053408081108192736,0.0,3.0,,0.39379412890165566,0.6062058710983443,13.45883643926457,0.28708791208791207,0,,,,
selection,risk_control_cash_gross,continuous_carry,20240102,20251231,0.41982501154824226,0.350533632715512,485,0.41982501154824226,0.1997736800644203,0.134036468048314,1.426003919674532,-0.07589484958499759,0.48041237113402063,0.06428901652260219,0.0,5.0,,0.5522323550401268,0.44776764495987315,16.20083216369575,0.25773195876288657,0,,,,
same_window_2026,risk_control_cash_gross,continuous_carry,20260105,20260529,0.03545939292077871,0.03484518613602761,95,0.03545939292077871,0.09683794100032661,0.10710466078055092,0.916586668937754,-0.05508435848958426,0.4842105263157895,0.08575392688376132,0.0,5.0,,0.644846965601131,0.3551530343988691,21.609989574707853,0.2736842105263158,0,,,,
observation,risk_control_cash_gross,continuous_carry,20260105,20260828,0.044914521671497454,0.0439350846276383,159,0.044914521671497454,0.07211460471251585,0.0914786956452798,0.8069404916029391,-0.05508435848958426,0.4025157232704403,0.06582571160540492,0.0,3.0,,0.4572910519887416,0.5427089480112585,16.588079324562038,0.22641509433962265,0,,,,
