strategy_id,universe,score_name,top_k,rebalance_days,hold_days,val_days,val_total_ret,val_ann_ret,val_ann_vol,val_sharpe,val_max_drawdown,val_win_rate,val_bench_ann_ret,val_excess_ann_ret,val_excess_sharpe,val_avg_turnover,val_rebalance_count,observation_days,observation_total_ret,observation_ann_ret,observation_ann_vol,observation_sharpe,observation_max_drawdown,observation_win_rate,observation_bench_ann_ret,observation_excess_ann_ret,observation_excess_sharpe,observation_avg_turnover,observation_rebalance_count
industry_concept__score_breakout__top5__rb1,industry_concept,score_breakout,5,1,1,483,0.2427992552134024,0.12008940045850314,0.32327400030659903,0.51117237663047,-0.303493753058099,0.4906832298136646,0.18784006684587706,-0.08470989757074376,-0.2156494879328152,0.6501304955089041,483,93,0.5119231042505794,2.0652618794352646,0.40108048809713553,2.999131196890259,-0.17359128611087404,0.6021505376344086,0.05468683869726565,1.8808737330995071,3.0319144587262286,0.7096830043205422,93
tradable_theme__score_low_vol_mom__top20__rb1,tradable_theme,score_low_vol_mom,20,1,1,483,0.2118463064999263,0.10544680496580239,0.28540266290647676,0.4922247778332817,-0.26357625301824117,0.494824016563147,0.19005875999688016,-0.09584233991128255,-0.4183308359701006,0.3527468151940051,483,93,0.09652547970111303,0.28362404239915606,0.24843523829999767,1.130112762851379,-0.1006590038886781,0.5591397849462365,0.06018190415199798,0.2017909384013794,1.0597704154363294,0.37570188604578775,93
industry__score_pullback_trend__top20__rb5,industry,score_pullback_trend,20,5,5,483,0.22520209895536847,0.11178657476652498,0.31870808356461594,0.4900107941639053,-0.3178796199190229,0.5320910973084886,0.17183939229863743,-0.05478614695975348,-0.3241059842151097,0.9193616370934555,97,93,0.2317619631206287,0.759131866142396,0.30526201080465026,2.0050888213983598,-0.09102164781126965,0.5913978494623656,0.022428170864180474,0.7361248788949841,2.8310935013874587,0.9563916787258187,19
industry_concept__score_low_vol_mom__top20__rb1,industry_concept,score_low_vol_mom,20,1,1,483,0.20278942176478165,0.10112862350775664,0.2883985803716965,0.4766397492161985,-0.2496538206481611,0.4968944099378882,0.18784006684587706,-0.09690419683492846,-0.43027303336476325,0.3479438869993117,483,93,0.0918451437062704,0.2688320109574003,0.254728015111407,1.062840379705793,-0.10461307697442368,0.5591397849462365,0.05468683869726565,0.194580067623346,1.00405683617127,0.3644216642366634,93
tradable_theme__score_breakout__top5__rb1,tradable_theme,score_breakout,5,1,1,483,0.21568647574010447,0.10727307659658236,0.32210637853550983,0.4761237819396222,-0.306878674722339,0.4906832298136646,0.19005875999688016,-0.09646318360967276,-0.26962747766853573,0.6534279775692983,483,93,0.5085603093197102,2.0468232016934196,0.4013457235421312,2.982302533374809,-0.17359128611087415,0.6021505376344086,0.06018190415199798,1.849804486617165,3.005705080104445,0.7160933086418261,93
tradable_theme__score_low_vol_mom__top3__rb1,tradable_theme,score_low_vol_mom,3,1,1,483,0.20556629267269955,0.10245424029257788,0.30475308808827073,0.47067351040935207,-0.21601383489286297,0.505175983436853,0.19005875999688016,-0.10765720509237542,-0.2957227802885302,0.448574395484462,483,93,-0.09530116189354554,-0.23767535676167884,0.2860018410882209,-0.8046750066964755,-0.23094661712192976,0.4838709677419355,0.06018190415199798,-0.2837376274375899,-1.3925312853645058,0.4846214748473619,93
tradable_theme__score_pullback_trend__top20__rb5,tradable_theme,score_pullback_trend,20,5,5,483,0.19995771154177855,0.09977531944457319,0.324859779216232,0.45290759357387556,-0.33874857113690804,0.5093167701863354,0.19005875999688016,-0.08207466235209715,-0.5147316808375442,0.9524472363450672,97,93,0.27092476277001865,0.9148342355817418,0.3119153025677601,2.2412867808315906,-0.09242978972433824,0.5913978494623656,0.06018190415199798,0.820211240195645,3.042951382570587,0.9717918004695425,19
industry_concept__score_risk_adj__top10__rb10,industry_concept,score_risk_adj,10,10,10,483,0.15388687343501917,0.07753898329834441,0.2748765957606724,0.40672725782250146,-0.2689341739193869,0.5196687370600414,0.18784006684587706,-0.11805994208069526,-0.5943555782773449,0.9367346938775512,49,93,0.04207920051496572,0.11816320625929033,0.259272326875864,0.5608189821849829,-0.13992239893002645,0.5483870967741935,0.05468683869726565,0.05948948049282632,0.4299337924058612,0.93,10
tradable_theme__score_risk_adj__top10__rb10,tradable_theme,score_risk_adj,10,10,10,483,0.15338346663796765,0.07729368894056154,0.2750411562634211,0.40582220857917667,-0.26699223076448586,0.5238095238095238,0.19005875999688016,-0.11950058969168798,-0.6044403693256035,0.9387755102040817,49,93,0.0413048632522135,0.1159132383908843,0.2597303117154223,0.5525102358941792,-0.13491640172808794,0.5483870967741935,0.06018190415199798,0.05183278843771588,0.3843534903216182,0.93,10
tradable_theme__score_low_vol_mom__top10__rb1,tradable_theme,score_low_vol_mom,10,1,1,483,0.14607445307507883,0.07372644957173535,0.2818344452454923,0.39166015786417613,-0.26603669113171313,0.4989648033126294,0.19005875999688016,-0.12674468644787318,-0.5122228649728731,0.38347826969981463,483,93,0.04307537605554179,0.12106196966124871,0.25368786303635366,0.5777806130355568,-0.12557887673958168,0.5483870967741935,0.06018190415199798,0.04858459110050806,0.33604375407068626,0.39944397735311776,93
industry__score_risk_adj__top3__rb1,industry,score_risk_adj,3,1,1,483,0.14023525359157007,0.0708687427115684,0.30542306771854194,0.37508507974927646,-0.22657221066386157,0.5010351966873706,0.17183939229863743,-0.11424646473170319,-0.3385650374944045,0.4856062845113873,483,93,-0.02639371904352239,-0.06991493264352355,0.32254868744967763,-0.06264025538570168,-0.1973076173296222,0.5268817204301075,0.022428170864180474,-0.09002154106447136,-0.22685166188726927,0.5099910848008874,93
industry_concept__score_pullback_trend__top20__rb5,industry_concept,score_pullback_trend,20,5,5,483,0.14313902614109786,0.07229072293941008,0.3276531558709401,0.3747845353275452,-0.3588425050257522,0.5113871635610766,0.18784006684587706,-0.10244819474898292,-0.6843039829980586,0.952367695840003,97,93,0.26737985001728326,0.900396521934727,0.3113860520964192,2.220213564864791,-0.09242978972433846,0.5913978494623656,0.05468683869726565,0.8150080902472854,3.015359248396456,0.9691720749738968,19
