period,boundary_mode,score_name,policy_name,cost_bps,full_path_rerun,stress_kind,risk_reference_cost_bps,feature_protocol_version,feature_cache_signature,strategy_policy_version,low_risk_data_signature,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
development,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1456,0.3399008315169582,0.0519457525836393,0.1249886139078502,0.4679942124026847,-0.1577256503466105,0.5611263736263736,0.0570021747749002,0.0829951664722547,3.0,10.0,0.4361367672322976,0.5638632327677023,14.364548043274864,0.3008241758241758,546.0,10.0,10.0,10.0,0.1538461538461538
selection,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,485,0.4513530301036916,0.2135433164170228,0.1396563259916355,1.4559535125994858,-0.0774388765243268,0.5752577319587628,0.0671057480009176,0.032546287780445,5.0,10.0,0.5660362686438567,0.4339637313561433,16.910648496231243,0.2536082474226804,179.0,10.0,10.0,10.0,0.0726256983240223
full,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1941,0.9446691318605932,0.0901865895494002,0.1288708312283366,0.7347285992644219,-0.1577256503466105,0.5646573930963421,0.0595267667453373,0.1155414542526998,3.0,10.0,0.4685949115829447,0.5314050884170552,15.000745219825015,0.2890262751159196,725.0,10.0,10.0,10.0,0.1337931034482758
observation,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,159,0.0378035625223429,0.0605740675742099,0.0916109308873341,0.6877558688669275,-0.0563332060549101,0.5534591194968553,0.0658248043168631,0.0104661438863812,3.0,10.0,0.4572725831774373,0.5427274168225628,16.58785068784952,0.2264150943396226,57.0,10.0,10.0,10.0,0.1578947368421052
year_2018,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.1378420517030882,-0.1431098800910449,0.0805665478636774,-1.8759374754380684,-0.1532284817860139,0.5661157024793388,0.0468582482975677,,,,,,,,,,,,
year_2019,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,244,0.1349575851387989,0.1396782038585888,0.1239344508407494,1.117277937573372,-0.1256432645836713,0.5573770491803278,0.0504726731547941,,,,,,,,,,,,
year_2020,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.144213813575539,0.1499371891031118,0.1652094987477267,0.9293720969971674,-0.0939486716229017,0.5720164609053497,0.0587632013850958,,,,,,,,,,,,
year_2021,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.215192177227697,0.223995902107464,0.1684049701545717,1.285101275916224,-0.1361384043410997,0.5720164609053497,0.0778672294720002,,,,,,,,,,,,
year_2022,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.0551819611623103,-0.0573955059556192,0.0915684973589643,-0.5993949740378374,-0.1003153514999949,0.5826446280991735,0.0501100975716622,,,,,,,,,,,,
year_2023,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.0423314950773603,0.0441187732105943,0.0857753015270216,0.5462310981191623,-0.0577014444013511,0.5165289256198347,0.0579020653878388,,,,,,,,,,,,
year_2024,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.2450068940606289,0.2563321494742259,0.134855532682329,1.7598742885689,-0.0649474214395402,0.5867768595041323,0.046641106807416,,,,,,,,,,,,
year_2025,continuous_carry,score_frozen_selected_5d,simple_v2,10.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.1657389505451323,0.1723789788394509,0.1442470970524198,1.1749099666745402,-0.0774388765243265,0.5637860082304527,0.0874861725639933,,,,,,,,,,,,
development,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1456,0.2331438444363098,0.0369370160269586,0.1252118232150429,0.3526083726302268,-0.1675441449434345,0.5556318681318682,0.0570021747749002,0.1659903329445095,3.0,10.0,0.4361367672322976,0.5638632327677023,14.364548043274864,0.3008241758241758,546.0,10.0,10.0,10.0,0.1538461538461538
selection,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,485,0.404852211193387,0.1931829911591074,0.1399182051954661,1.332485353829183,-0.0791981270583824,0.5690721649484536,0.0671057480009176,0.0650925755608901,5.0,10.0,0.5660362686438567,0.4339637313561433,16.910648496231243,0.2536082474226804,179.0,10.0,10.0,10.0,0.0726256983240223
full,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1941,0.7323848565758642,0.0739478576690828,0.1291020259513721,0.6173757960109586,-0.1675441449434345,0.5589902112313241,0.0595267667453373,0.2310829085053996,3.0,10.0,0.4685949115829447,0.5314050884170552,15.000745219825015,0.2890262751159196,725.0,10.0,10.0,10.0,0.1337931034482758
