signal_date,execution_date,stage,asset_code,target_weight
20180102,20180103,executed,881182.TI,0.13999999999999999
20180102,20180103,executed,883300.TI,0.13999999999999999
20180102,20180103,executed,883303.TI,0.13999999999999999
20180102,20180103,executed,884201.TI,0.13999999999999999
20180102,20180103,executed,884211.TI,0.13999999999999999
20180102,20180103,executed,LOW_RISK,0.30000000000000004
20180103,20180104,executed,881182.TI,0.09999999999999999
20180103,20180104,executed,883303.TI,0.09999999999999999
20180103,20180104,executed,884211.TI,0.09999999999999999
20180103,20180104,executed,LOW_RISK,0.7
20180104,20180105,executed,881182.TI,0.09821694506001583
20180104,20180105,executed,883303.TI,0.1006823960519549
20180104,20180105,executed,884211.TI,0.10032582861868693
20180104,20180105,executed,LOW_RISK,0.7007748302693424
20180105,20180108,executed,881182.TI,0.09744909333107071
20180105,20180108,executed,883303.TI,0.10059410555282527
20180105,20180108,executed,884211.TI,0.10148338317880082
20180105,20180108,executed,LOW_RISK,0.7004734179373032
20180108,20180109,executed,881182.TI,0.09722086247902388
20180108,20180109,executed,883303.TI,0.10062292185524523
20180108,20180109,executed,884211.TI,0.10436948009759857
20180108,20180109,executed,LOW_RISK,0.6977867355681323
20180109,20180110,executed,881182.TI,0.09765027835643765
20180109,20180110,executed,883303.TI,0.10094562052714164
20180109,20180110,executed,884211.TI,0.10285933645748215
20180109,20180110,executed,LOW_RISK,0.6985447646589386
20180110,20180111,executed,881182.TI,0.09738234503935496
20180110,20180111,executed,883303.TI,0.10052373823610236
20180110,20180111,executed,884211.TI,0.10018251655432972
20180110,20180111,executed,LOW_RISK,0.7019114001702129
20180111,20180112,executed,881182.TI,0.09814122616396305
20180111,20180112,executed,883303.TI,0.10024673300859953
20180111,20180112,executed,884211.TI,0.10184857605134862
20180111,20180112,executed,LOW_RISK,0.6997634647760889
20180112,20180115,executed,881182.TI,0.09786299998496076
20180112,20180115,executed,883303.TI,0.10009506821503919
20180112,20180115,executed,884211.TI,0.10111443518797067
20180112,20180115,executed,LOW_RISK,0.7009274966120294
20180115,20180116,executed,881182.TI,0.09484117152587528
20180115,20180116,executed,883303.TI,0.09815973878960466
20180115,20180116,executed,884211.TI,0.10370548910917893
20180115,20180116,executed,LOW_RISK,0.7032936005753412
20180116,20180117,executed,884211.TI,0.09999999999999999
20180116,20180117,executed,884221.TI,0.09999999999999999
20180116,20180117,executed,884245.TI,0.09999999999999999
20180116,20180117,executed,LOW_RISK,0.7
20180117,20180118,executed,884211.TI,0.10071504004212953
20180117,20180118,executed,884221.TI,0.1002201201104475
20180117,20180118,executed,884245.TI,0.09882106405118053
20180117,20180118,executed,LOW_RISK,0.7002437757962425
20180118,20180119,executed,884211.TI,0.10127236769254506
20180118,20180119,executed,884221.TI,0.10171321522506306
20180118,20180119,executed,884245.TI,0.09948367223234685
20180118,20180119,executed,LOW_RISK,0.697530744850045
20180119,20180122,executed,884211.TI,0.09957698346912926
20180119,20180122,executed,884221.TI,0.1042564221628835
20180119,20180122,executed,884245.TI,0.09895056754142516
20180119,20180122,executed,LOW_RISK,0.6972160268265621
20180122,20180123,executed,884211.TI,0.09798142857844191
20180122,20180123,executed,884221.TI,0.10527425955799645
20180122,20180123,executed,884245.TI,0.10026028024007448
20180122,20180123,executed,LOW_RISK,0.6964840316234872
20180123,20180124,executed,884211.TI,0.09919436651111102
20180123,20180124,executed,884221.TI,0.10539791402961528
20180123,20180124,executed,884245.TI,0.1000410200724169
20180123,20180124,executed,LOW_RISK,0.6953666993868568
20180124,20180125,executed,884221.TI,0.09999999999999999
20180124,20180125,executed,884245.TI,0.09999999999999999
20180124,20180125,executed,884254.TI,0.09999999999999999
20180124,20180125,executed,LOW_RISK,0.7
20180125,20180126,executed,884221.TI,0.09848685909967587
