date,train_start,train_end,rows,iteration
20240102,20230922,20231222,318142,83
20240109,20231009,20231229,318364,200
20240116,20231016,20240108,318595,57
20240123,20231023,20240115,318819,3
20240130,20231030,20240122,319038,15
20240206,20231106,20240129,319250,200
20240221,20231113,20240205,319470,200
20240228,20231120,20240220,319685,1
20240306,20231127,20240227,319877,1
20240313,20231204,20240305,320046,1
20240320,20231211,20240312,320202,2
20240327,20231218,20240319,320345,11
20240403,20231225,20240326,320492,15
20240412,20240102,20240402,320647,1
20240419,20240109,20240411,320799,14
20240426,20240116,20240418,320935,3
20240508,20240123,20240425,321031,1
20240515,20240130,20240507,320986,88
20240522,20240206,20240514,320962,13
20240529,20240221,20240521,320935,125
20240605,20240228,20240528,320907,60
20240613,20240306,20240604,320875,127
20240620,20240313,20240612,320858,49
20240627,20240320,20240619,320822,7
20240704,20240327,20240626,320730,1
20240711,20240403,20240703,320610,3
20240718,20240412,20240710,320490,61
20240725,20240419,20240717,320376,56
20240801,20240426,20240724,320260,200
20240808,20240508,20240731,320266,36
20240815,20240515,20240807,320241,200
20240822,20240522,20240814,320214,196
20240829,20240529,20240821,320196,123
20240905,20240605,20240828,320193,29
20240912,20240613,20240904,320170,24
20240923,20240620,20240911,320147,200
20240930,20240627,20240920,320183,57
20241014,20240704,20240927,320249,1
20241021,20240711,20241011,320278,1
20241028,20240718,20241018,320333,68
20241104,20240725,20241025,320417,200
20241111,20240801,20241101,320489,33
20241118,20240808,20241108,320585,127
20241125,20240815,20241115,320671,101
20241202,20240822,20241122,320767,66
20241209,20240829,20241129,320875,200
20241216,20240905,20241206,321000,200
20241223,20240912,20241213,321138,13
20241230,20240923,20241220,321283,1
20250107,20240930,20241227,321405,46
20250114,20241014,20250106,321538,43
20250121,20241021,20250113,321658,1
20250205,20241028,20250120,321799,16
20250212,20241104,20250127,321964,76
20250219,20241111,20250211,322119,7
20250226,20241118,20250218,322285,1
20250305,20241125,20250225,322430,11
20250312,20241202,20250304,322540,90
20250319,20241209,20250311,322632,194
20250326,20241216,20250318,322724,20
20250402,20241223,20250325,322807,16
20250410,20241230,20250401,322901,174
20250417,20250107,20250409,323012,25
20250424,20250114,20250416,323113,1
20250506,20250121,20250423,323190,82
20250513,20250205,20250430,323182,148
20250520,20250212,20250512,323201,119
20250527,20250219,20250519,323216,52
20250604,20250226,20250526,323226,200
20250611,20250305,20250603,323231,200
20250618,20250312,20250610,323270,45
20250625,20250319,20250617,323352,28
20250702,20250326,20250624,323443,46
20250709,20250402,20250701,323513,162
20250716,20250410,20250708,323563,139
20250723,20250417,20250715,323621,200
20250730,20250424,20250722,323677,74
20250806,20250506,20250729,323820,200
20250813,20250513,20250805,323924,39
20250820,20250520,20250812,324027,19
20250827,20250527,20250819,324145,2
20250903,20250604,20250826,324298,41
20250910,20250611,20250902,324428,67
20250917,20250618,20250909,324517,66
20250924,20250625,20250916,324607,1
20251009,20250702,20250923,324694,199
20251016,20250709,20250930,324798,135
20251023,20250716,20251015,324886,12
20251030,20250723,20251022,325013,68
20251106,20250730,20251029,325133,27
20251113,20250806,20251105,325251,76
20251120,20250813,20251112,325386,200
20251127,20250820,20251119,325524,73
20251204,20250827,20251126,325650,37
20251211,20250903,20251203,325750,11
20251218,20250910,20251210,325858,1
20251225,20250917,20251217,325967,1
