name,expression_text,depth,search_score,best_month_abs_ic,mean_top_abs_ic,valid_months,peak_month,full_peak_month,full_best_month_abs_ic,full_top3_month_abs_ic,full_mean_abs_month_ic,full_months_abs_ic_ge_005
factor_01,"mul(turnover_rate_f,add(macd_dea,signed_sqrt(turnover_rank_cs)))",3,0.2506430380238669,0.3023472612858042,0.26114548427041157,48,201607,201607,0.2808401103986657,0.25656629233303346,0.09372426840400377,103
factor_02,"mul(turnover_rate_f,signed_sqrt(boll_width))",2,0.25048954815905744,0.29188292731913673,0.26087331663218033,48,201607,201607,0.27313221072708294,0.2689178101474002,0.09451695462494986,96
factor_03,"mul(turnover_rate_f,add(macd_dea,total_mv_rank_cs))",2,0.23996383392652826,0.2827265276866364,0.24993519281690757,48,201607,201607,0.25541391249360984,0.2491760432353556,0.10372683733524667,102
factor_04,abs(amount_rank_cs),1,0.20597930514286122,0.22242855441311996,0.21352473521293777,48,201811,201505,0.25546713576878416,0.2366588801578775,0.10365585749280336,100
factor_05,"abs(min(div(range_rank_cs,lower_shadow),circ_mv_rank_cs))",3,0.2057742078313165,0.23682435385590822,0.21732715267018166,48,202012,202401,0.297351430318931,0.25512293100643396,0.07636839123313993,83
factor_06,"min(amount_rank_cs,signed_log(sub(ret_20d_rank_cs,lg_net_amount_ratio_5d)))",3,0.19947921664181695,0.2266424215076662,0.2086421922578701,48,202504,202504,0.2126706423823014,0.20425165305000056,0.09488267445486327,106
factor_07,"mul(turnover_rate_f,neg(rsi_6_rank_cs))",2,0.1969042941541787,0.22381312888969382,0.20579764104954015,48,201904,201904,0.21378315498669154,0.1969246499746078,0.08256272147403437,98
factor_08,signed_sqrt(range_rank_cs),1,0.19459274190703868,0.24327914063686498,0.20279469981807408,48,202412,202401,0.24485443246887834,0.2361225339121843,0.08221327789418874,93
factor_09,"div(turnover_rate,max(lg_buy_amount_ratio,max(circ_mv_rank_cs,liquidity_rank_cs)))",3,0.19448296214436617,0.21443968311556885,0.20654078794125816,48,202412,202401,0.3231015828962958,0.24331814530013063,0.07566695812644153,81
factor_10,"abs(min(div(range_rank_cs,lower_shadow),signed_sqrt(vol_rank_cs)))",3,0.187034285289635,0.22043275066691084,0.19718869469241487,48,201803,201501,0.24853519506273386,0.22219275825625906,0.07928810186012375,82
factor_11,"mul(add(min(dv_ttm_rank_cs,lower_shadow),min(ret_5d_rank_cs,volume_ratio)),max(max(ret_20d,amount_rank_cs),lg_net_amount_ratio))",3,0.1837373357742223,0.2140519757286342,0.1966675346432248,48,201903,202411,0.23584069263000565,0.21105638061782794,0.08217261265972158,92
factor_12,"max(add(sub(ret_5d_rank_cs,md_net_amount_ratio),min(turnover_rate_f,total_mv_rank_cs)),macd_dea)",3,0.18320345837107957,0.19887102368016898,0.19490712409657893,48,201511,202401,0.24017271081594493,0.22456012105987858,0.08384815562524589,86
factor_13,"neg(min(signed_sqrt(total_mv_rank_cs),macd_dea))",3,0.18253849465075525,0.21946438388809394,0.19254807576195945,48,201509,201802,0.24445047043077384,0.22670674062714483,0.07193067501595841,72
factor_14,"mul(max(macd,boll_position),add(macd_dea,signed_sqrt(turnover_rank_cs)))",3,0.1803705628234892,0.2012293981905313,0.1909763408627848,48,201904,201504,0.20130799218408196,0.19941628296754754,0.07520475111728003,84
factor_15,"max(min(abs(volume_ratio),mul(ret_1d_rank_cs,intraday_ret)),signed_sqrt(max(ret_20d_rank_cs,total_mv_rank_cs)))",3,0.17965064776144635,0.20856348636247599,0.19240924461732226,48,201509,201603,0.21986554267367373,0.2150931385297243,0.08761796737368698,93
factor_16,neg(boll_width),1,0.1792979391219678,0.2228976336662616,0.18785433862132583,48,202412,202401,0.2655633121756915,0.24693206313279456,0.07634429364300932,79
factor_17,"min(min(add(liquidity_rank_cs,net_mf_rank_cs),abs(ret_5d)),sub(sub(intraday_ret,circ_mv_rank_cs),rsi_6_rank_cs))",3,0.17762180709273984,0.19573491720226122,0.19131481683176388,48,201511,202401,0.2622130650432522,0.23164742286027318,0.0784166467008722,85
factor_18,"mul(range_rank_cs,ret_20d_rank_cs)",1,0.17553883079223118,0.1889547171646289,0.18349196857884395,48,201904,201904,0.18456950589938032,0.1826309422123761,0.07591210858303336,88
factor_19,"div(div(signed_sqrt(turnover_rank_cs),add(sm_net_amount_ratio,circ_mv_rank_cs)),rsi_24)",3,0.17224931921473877,0.18979544801282078,0.18407578501306396,48,201711,202401,0.28990054144928473,0.21061280413741904,0.06452978603371376,67
factor_20,"signed_sqrt(mul(sub(total_mv_rank_cs,turnover_rate_f),cci))",3,0.16917610104060365,0.19320840436073708,0.17945542985308202,48,202308,202401,0.18253979813142285,0.17936095376277628,0.061155267651078954,76
