power,dead_zone,half_life,top_k,signal_mode,mean_rank_ic,rank_ic_ir,mean_long_short_5d,long_short_win_rate,early_2026_ic,late_2026_ic
1.0,0.03,10.0,20,tanh,0.04079816391396378,0.3059634111555489,-0.0024202794248498745,0.4111111111111111,0.07767688388776782,-0.0199432572193605
1.0,0.03,10.0,20,binary,0.04043810744887916,0.3162299434250907,-0.0016103121210066407,0.37777777777777777,0.07523566261660608,-0.016875512827376943
1.0,0.03,10.0,20,linear,0.03979309541817882,0.2958150224054791,-0.002893061971268371,0.4222222222222222,0.07728234448083626,-0.021953903037962866
1.0,0.01,5.0,20,tanh,0.03874920829405185,0.31620172340377584,-5.960544638827044e-05,0.43333333333333335,0.05548170221094696,0.011189806548577553
1.0,0.0,5.0,20,tanh,0.038556890000926825,0.3132620143743805,-9.120273999932462e-05,0.43333333333333335,0.05398484639228952,0.01314613829750591
1.5,0.03,10.0,20,tanh,0.03841151314129603,0.2865581006813126,-0.0028924252472378683,0.4111111111111111,0.07712142484329172,-0.025345988485520433
1.5,0.01,5.0,20,tanh,0.03824609197902358,0.31026102097376046,-0.00046232363748688565,0.4222222222222222,0.0560251493013977,0.008962938742172077
1.5,0.0,5.0,20,tanh,0.03816986506579343,0.3091956166336005,-0.0004456289637271613,0.4111111111111111,0.055367798514104505,0.009843857033281053
1.5,0.03,10.0,20,binary,0.03815690509628625,0.2970715399223051,-0.0015723418172690407,0.37777777777777777,0.07459583484654767,-0.02186015566885021
1.0,0.01,5.0,20,linear,0.03812320176052185,0.3067451242001074,-0.00046297031546353577,0.43333333333333335,0.054578677348162304,0.011020065498525793
1.0,0.0,5.0,20,linear,0.037905883389190466,0.3035291234632091,-0.0004974863900230254,0.43333333333333335,0.052950696238048336,0.013126191638130436
1.0,0.01,5.0,20,binary,0.037753501759128734,0.3231158500053975,6.317640626232645e-05,0.4222222222222222,0.05361800899998226,0.011623725127134684
1.5,0.01,5.0,20,linear,0.03765321816315919,0.3007751079669486,-0.0014257918714515776,0.4444444444444444,0.05500484046942574,0.009074075541073095
1.5,0.0,5.0,20,linear,0.03755356076454342,0.2994911212360003,-0.0013910743937110247,0.4444444444444444,0.05428865725060523,0.009989872434559254
1.0,0.0,5.0,20,binary,0.037513224844650035,0.3201736363716115,0.0006750243841605406,0.4444444444444444,0.052351018566942076,0.013074505772639607
1.5,0.03,10.0,20,linear,0.03738542358202382,0.2765653648528152,-0.003265763168182198,0.4222222222222222,0.0767373662058748,-0.0274295407396131
1.5,0.01,5.0,20,binary,0.03715339019192079,0.317643049553206,3.9633354568657026e-05,0.4111111111111111,0.05417406579468996,0.009119336257948056
1.5,0.03,5.0,20,tanh,0.03697015721675044,0.2969559690741267,-0.0006173923768621319,0.4222222222222222,0.059549673400869085,-0.0002196341453273625
1.5,0.0,5.0,20,binary,0.036941904790912757,0.31582877155662614,0.00019746916404746293,0.4222222222222222,0.05350081139128899,0.009668411566763686
1.0,0.0,10.0,20,tanh,0.036725598709091145,0.2737849709715157,-0.003620996845539728,0.4,0.07643924844084084,-0.028685118496143615
1.0,0.0,10.0,20,binary,0.03672470264732368,0.2861224106010242,-0.0031953157753844825,0.37777777777777777,0.0738221716397373,-0.024377010987239957
1.0,0.01,10.0,20,binary,0.03670947858435494,0.28624791165104985,-0.003128832245835183,0.37777777777777777,0.07378174245420799,-0.02435072073069716
1.0,0.03,5.0,20,tanh,0.03657445499348935,0.2918383425871651,-0.00032136617869900537,0.4222222222222222,0.060775501805700495,-0.003286092697211356
1.0,0.01,10.0,20,tanh,0.03650619543213491,0.272583516816615,-0.003626356766060862,0.4,0.0761172318041586,-0.028735511533551136
1.5,0.03,5.0,20,linear,0.03650568912395886,0.28904675249420575,-0.0014626112187681203,0.4111111111111111,0.0587113493393942,-6.833946616993985e-05
1.0,0.03,10.0,10,tanh,0.03618732165743789,0.2701392907169876,-0.0032336404597705804,0.4,0.07640265641497135,-0.030049700296146592
1.5,0.0,10.0,20,tanh,0.036084691176939236,0.26814740567309947,-0.0035071928070776882,0.4,0.07616902224547714,-0.029936559994770243
1.0,0.03,5.0,20,linear,0.03601855936250065,0.28348394431319557,-0.0007685216627540733,0.4222222222222222,0.06013503247857811,-0.0037026904757445707
1.5,0.03,5.0,20,binary,0.03600281487854481,0.3051669682904092,0.00010716394548098001,0.4111111111111111,0.05707598625550951,0.0012940620223676406
1.5,0.0,10.0,20,binary,0.03590717111294144,0.27912178362819967,-0.002473380227237389,0.36666666666666664,0.0733245007457572,-0.02572137181169629
1.5,0.01,10.0,20,tanh,0.03588360766297247,0.26683707097360354,-0.003460287238038994,0.4,0.07590029909219305,-0.03002623704397902
1.5,0.01,10.0,20,binary,0.03584388530402972,0.2787563019165765,-0.002808065721564228,0.36666666666666664,0.07327923965183046,-0.025814345386465612
1.0,0.0,10.0,20,linear,0.0356247159891506,0.2629502177088288,-0.003944388583330049,0.4222222222222222,0.07602259309496537,-0.030912963949838394
1.0,0.03,10.0,10,binary,0.03559273913735316,0.277158659374888,-0.0020771762553075065,0.37777777777777777,0.07368697988553143,-0.027150716212587512
1.0,0.01,10.0,20,linear,0.03532667059897599,0.26129890563180197,-0.004003204560521696,0.4111111111111111,0.07556605723154527,-0.030949966207608724
1.0,0.03,10.0,10,linear,0.03517340089072805,0.2606220532236012,-0.0036132924666625113,0.4111111111111111,0.0760316842002966,-0.03212259514856137
1.5,0.03,10.0,10,tanh,0.03498544090518869,0.2603317682903203,-0.0034455877371814313,0.4,0.07616041905037903,-0.03283217015747775
1.5,0.0,10.0,20,linear,0.03490765485579836,0.25698127655064146,-0.0037657720346283164,0.4222222222222222,0.07563936611243227,-0.03217986956689278
1.5,0.01,10.0,20,linear,0.03467931972380761,0.25551854344901587,-0.0038200703502529946,0.4111111111111111,0.07532325540207159,-0.032263633158038936
1.5,0.03,10.0,10,binary,0.03455676915750775,0.2683976646435412,-0.002080053803149371,0.37777777777777777,0.0734980301851363,-0.029581778417409853
1.0,0.03,5.0,20,binary,0.034353725682110904,0.2886629388685723,1.3976938931959686e-05,0.4,0.05706971324491022,-0.00306084206838208
1.5,0.03,10.0,10,linear,0.033970643815416715,0.25095920877335537,-0.0037030770599336153,0.4111111111111111,0.07577431116683389,-0.03488245535162335
1.0,0.0,10.0,10,tanh,0.033557335740629246,0.24875704398229023,-0.0033164088177496266,0.4,0.0746782560470527,-0.034171238881715235
1.0,0.01,10.0,10,tanh,0.033557335740629246,0.24875704398229023,-0.0033164088177496266,0.4,0.0746782560470527,-0.034171238881715235
1.0,0.0,10.0,10,binary,0.03354218609347271,0.2599989678938534,-0.002618660862566365,0.36666666666666664,0.07197183965019419,-0.02975371388230383
1.0,0.01,10.0,10,binary,0.03354218609347271,0.2599989678938534,-0.002618660862566365,0.36666666666666664,0.07197183965019419,-0.02975371388230383
1.5,0.0,10.0,10,tanh,0.033286328035356666,0.24655180440091864,-0.0035609015611125856,0.4,0.07451251574240748,-0.034615628188021164
1.5,0.01,10.0,10,tanh,0.033286328035356666,0.24655180440091864,-0.0035609015611125856,0.4,0.07451251574240748,-0.034615628188021164
1.5,0.03,5.0,10,tanh,0.03327195467062117,0.26542875105117714,-0.0017213329306935918,0.4111111111111111,0.05698880070749658,-0.005791085860703056
1.5,0.0,10.0,10,binary,0.03309213789840939,0.25600725995628565,-0.002532611341132947,0.36666666666666664,0.07183774677360508,-0.03072415907250116
1.5,0.01,10.0,10,binary,0.03309213789840939,0.25600725995628565,-0.002532611341132947,0.36666666666666664,0.07183774677360508,-0.03072415907250116
1.5,0.03,5.0,10,linear,0.032914101953639134,0.259027339766912,-0.0020374839293726015,0.4111111111111111,0.05614444525504309,-0.005347639954555622
1.0,0.0,10.0,10,linear,0.03233134485409266,0.2377396411740928,-0.003929899620821905,0.4111111111111111,0.07412071592841607,-0.03649820750361651
1.0,0.01,10.0,10,linear,0.03233134485409266,0.2377396411740928,-0.003929899620821905,0.4111111111111111,0.07412071592841607,-0.03649820750361651
1.5,0.03,5.0,10,binary,0.03210949321951546,0.270536700724931,-0.0005879065120602697,0.4111111111111111,0.05408934972970848,-0.004092623385508352
1.5,0.0,10.0,10,linear,0.03205713931746472,0.2355761081632786,-0.0038951741955295283,0.4111111111111111,0.07391508412107928,-0.036885358006135745
1.5,0.01,10.0,10,linear,0.03205713931746472,0.2355761081632786,-0.0038951741955295283,0.4111111111111111,0.07391508412107928,-0.036885358006135745
1.0,0.03,5.0,10,tanh,0.03192657093340724,0.25365186504234527,-0.001346752628160975,0.4111111111111111,0.05739809121773435,-0.010026521299602105
1.0,0.03,5.0,10,linear,0.03136737903526321,0.24587909631036778,-0.0022363801684443722,0.4111111111111111,0.05675301089499358,-0.010444249910175037
1.5,0.0,5.0,10,tanh,0.030439610477171142,0.24591502680310498,-0.0020314934296788924,0.4,0.050421596494345314,-0.0024718959040569105
1.5,0.01,5.0,10,tanh,0.030439610477171142,0.24591502680310498,-0.0020314934296788924,0.4,0.050421596494345314,-0.0024718959040569105
1.5,0.0,5.0,10,linear,0.030111631956027316,0.23979316149388577,-0.002259902784476649,0.43333333333333335,0.04947498280909411,-0.0017809459196121203
1.5,0.01,5.0,10,linear,0.030111631956027316,0.23979316149388577,-0.002259902784476649,0.43333333333333335,0.04947498280909411,-0.0017809459196121203
