stage,experiment_id,setting,purpose
factor,F00,"{'objective': 'top3_ic', 'months': '48'}",因子目标/月覆盖
factor,F01,"{'objective': 'top3_ic', 'months': 'all'}",因子目标/月覆盖
factor,F02,"{'objective': 'top3_ndcg', 'months': 'all'}",因子目标/月覆盖
factor,F03,"{'objective': 'contiguous_ndcg', 'months': 'all'}",因子目标/月覆盖
operators,O00,(),时间算子
operators,O01,"('delta_5', 'slope_5')",时间算子
operators,O02,"('mean_5', 'std_20', 'zscore_20', 'ts_rank_20')",时间算子
operators,O03,"('delta_5', 'slope_5', 'mean_5', 'std_20', 'zscore_20', 'ts_rank_20')",时间算子
ga,G00,"{'selection_mode': 'elite_uniform', 'crossover_mode': 'insert_parent', 'mutation_mode': 'subtree', 'initialization': 'free'}",遗传方式
ga,G01,"{'selection_mode': 'tournament', 'crossover_mode': 'symmetric_subtree', 'mutation_mode': 'mixed', 'initialization': 'free'}",遗传方式
ga,G02,"{'selection_mode': 'tournament', 'crossover_mode': 'symmetric_subtree', 'mutation_mode': 'mixed', 'initialization': 'category_balanced'}",遗传方式
models,M00,"('ic_vote', 10)",滚动模型
models,M01-10,"('binning', 10)",滚动模型
models,M01-20,"('binning', 20)",滚动模型
models,M02,"('regression', 10)",滚动模型
models,M03,"('classifier', 10)",滚动模型
models,M04,"('lambdarank', 10)",滚动模型
windows,W30-5,"(30, 5, 5)",训练/更新窗口
windows,W30-1,"(30, 1, 5)",训练/更新窗口
windows,W60-5,"(60, 5, 10)",训练/更新窗口
windows,W60-1,"(60, 1, 10)",训练/更新窗口
windows,W120-5,"(120, 5, 20)",训练/更新窗口
windows,W120-1,"(120, 1, 20)",训练/更新窗口
decay,D00,0.0,近期衰减
decay,D10,10.0,近期衰减
decay,D20,20.0,近期衰减
ablation,A00,None,因子类别消融
ablation,A01,price_tech,因子类别消融
ablation,A02,moneyflow,因子类别消融
ablation,A03,valuation,因子类别消融
